Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"CIMU_ID";"LANGUE_ORIGINE";"H&S_Label";"URI_DBPEDIA";
;;;;;;"111.211 (Individual) percussion sticks";;;;"LEXICON_00000014";"NT";"Hornbostel - Sachs";"Standard";"An instrument in the form of a stick, owing to the solidity and elasticity of its substance, vibrates and may radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects (human body, the ground). The player creates clearly defined individual strokes. Japan, Annam, Balkans. Also the triangle.";"";"";"LEXICON_00005150;LEXICON_00002428;LEXICON_00005315;LEXICON_00005385;LEXICON_00003005";"70";"111.211";"";"(Individual) percussion sticks";;
;;;;;;"111.212 Sets of percussion sticks";;;;"LEXICON_00000015";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of sets of sticks, owing to the solidity and elasticity of their substance, vibrate and may radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects (human body, the ground). Several percussion sticks of different pitches are combined to form a single instrument. The player creates clearly defined individual strokes. All xylophones.";"";"";"LEXICON_00003063;LEXICON_00008368;LEXICON_00003067;LEXICON_00005174;LEXICON_00005192;LEXICON_00007062;LEXICON_00007066;LEXICON_00003073;LEXICON_00007068;LEXICON_00007069;LEXICON_00004876;LEXICON_00005248;LEXICON_00006546;LEXICON_00008358;LEXICON_00008356;LEXICON_00003076;LEXICON_00003078;LEXICON_00003079;LEXICON_00003080;LEXICON_00003082;LEXICON_00003087;LEXICON_00008336;LEXICON_00005313;LEXICON_00005316;LEXICON_00003088;LEXICON_00005340;LEXICON_00004783;LEXICON_00007071;LEXICON_00003092;LEXICON_00007072;LEXICON_00003099;LEXICON_00003062;LEXICON_00003100";"1009";"111.212";"";"Sets of percussion sticks";;
;;;;;;;"111.212-8 Sets of percussion sticks with keyboard";;;"LEXICON_00006419";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of sets of sticks, owing to the solidity and elasticity of their substance, vibrate and may radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects (human body, the ground). Several percussion sticks of different pitches are combined to form a single instrument. The player creates clearly defined individual strokes. With keyboard.";"";"";"LEXICON_00004932;LEXICON_00006705";"5";"";"";"";;
;;;;;"111.22 Percussion plaques";;;;;"LEXICON_00000016";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of plaques, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The player creates clearly defined individual strokes.";"";"";"LEXICON_00004544";"7";"111.22";"";"Percussion plaques";;
;;;;;;"111.221 (Individual) percussion plaques";;;;"LEXICON_00000017";"NT";"Hornbostel - Sachs";"Standard";"An instrument in the form of a plaque, owing to the solidity and elasticity of its substance, vibrates and radiates sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The player creates clearly defined individual strokes. In the oriental Christian Church.";"";"";"LEXICON_00002809;LEXICON_00002966;LEXICON_00004863;LEXICON_00004819;LEXICON_00002837;LEXICON_00004821;LEXICON_00005659;LEXICON_00004665";"95";"111.221";"";"(Individual) percussion plaques";"";
;;;;;;"111.222 Sets of percussion plaques";;;;"LEXICON_00000018";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of sets of plaques, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. Several percussion plaques of different pitches are combined to form a single instrument. The player creates clearly defined individual strokes. Lithophone (China), and most metallophones.";"";"";"LEXICON_00008402;LEXICON_00002387;LEXICON_00002966;LEXICON_00004769;LEXICON_00007062;LEXICON_00007066;LEXICON_00002967;LEXICON_00002968;LEXICON_00007068;LEXICON_00007069;LEXICON_00002970;LEXICON_00003078;LEXICON_00003079;LEXICON_00002965;LEXICON_00002973;LEXICON_00002974;LEXICON_00002975;LEXICON_00005346;LEXICON_00005347;LEXICON_00004783;LEXICON_00007071;LEXICON_00002985;LEXICON_00007072;LEXICON_00003062";"237";"111.222";"";"Sets of percussion plaques";;
;;;;;"111.23 Percussion tubes";;;;;"LEXICON_00000019";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of tubes, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects (human body, the ground). The player creates clearly defined individual strokes.";"";"";"LEXICON_00002993";"67";"111.23";"";"Percussion tubes";;
;;;;;;"111.231 (Individual) percussion tubes";;;;"LEXICON_00000020";"NT";"Hornbostel - Sachs";"Standard";"An instrument in the form of a tube, owing to the solidity and elasticity of its substance, vibrates and radiates sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects (human body, the ground). The player creates clearly defined individual strokes. This group does not include slit drums, which are a sub-group of bells, 111.243.";"";"";"LEXICON_00005152;LEXICON_00006282;LEXICON_00006308;LEXICON_00005297";"15";"111.231";"";"(Individual) percussion tubes";;
;;;;;;"111.232 Sets of percussion tubes";;;;"LEXICON_00000021";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of sets of tubes, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects (human body, the ground). Several percussion tubes of different pitches are combined to form a single instrument. The player creates clearly defined individual strokes. Tubaphon, tubular xylophone.";"";"";"LEXICON_00005658;LEXICON_00004920;LEXICON_00003071;LEXICON_00003072;LEXICON_00002984;LEXICON_00002416";"24";"111.232";"";"Sets of percussion tubes";;
;;;;;"111.24 Percussion vessels";;;;;"LEXICON_00000022";"NT";"Hornbostel - Sachs";"Standard";"Instruments in the form of vessels, owing to the solidity and elasticity of their substance, vibrate and radiate sound when struck either with non-sonorous objects (hand, stick, striker) or against non-sonorous objects. The player creates clearly defined individual strokes.";"";"";"LEXICON_00006936;LEXICON_00002517;LEXICON_00006784;LEXICON_00002361;LEXICON_00008364;LEXICON_00005853;LEXICON_00005692";"43";"111.24";"";"Percussion vessels";;
