Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"CIMU_ID";"LANGUE_ORIGINE";"H&S_Label";"URI_DBPEDIA";
;;;;;;;"211.311-7 Single-skin frame drums without handle with membrane nailed to drum";;;"LEXICON_00006441";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. The body has no rigid handle. The single tightly stretched membrane is directly struck by the player, using the hands or intermediate devices such as sticks. With membrane nailed to drum.";"";"";"LEXICON_00002501";"27";"";"";"";;
;;;;;;;"211.311-86 Single-skin frame drums without handle with cord-and-peg bracing";;;"LEXICON_00006442";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. The body has no rigid handle. The single tightly stretched membrane is directly struck by the player, using the hands or intermediate devices such as sticks. With membrane laced to drum. Cord-and-peg bracing. the cords are lsced at the lower end to pegs stuck into the wall of the drum. Africa.";"";"";"";"0";"";"";"";;
;;;;;;;"211.311-92 Single-skin frame drums without handle with membrane lapped onto a hoop";;;"LEXICON_00006443";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. The body has no rigid handle. The single tightly stretched membrane is directly struck by the player, using the hands or intermediate devices such as sticks.  With membrane lapped onto a hoop.";"";"";"";"0";"";"";"";;
;;;;;;"211.312 Double-skin frame drums without handle";;;;"LEXICON_00000117";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. The body has no rigid handle. It is enclosed by two tightly stretched membranes that are directly struck by the player, using the hands or intermediate devices such as sticks. North Africa, Portugal.";"";"";"LEXICON_00006631;LEXICON_00004577;LEXICON_00004578;LEXICON_00002533;LEXICON_00002602;LEXICON_00005137;LEXICON_00005336;LEXICON_00002794";"79";"211.312";"";"Double-skin frame drums without handle";;
;;;;;;;"211.312-7 Double-skin frame drums without handle with membrane nailed to drum";;;"LEXICON_00006444";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. The body has no rigid handle. It is enclosed by two tightly stretched membranes that are directly struck by the player, using the hands or intermediate devices such as sticks. With membrane nailed to drum.";"";"";"";"0";"";"";"";;
;;;;;"211.32 Frame drums with handle";;;;;"LEXICON_00000118";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The tightly stretched membranes are directly struck by the player, using the hands or intermediate devices such as sticks.";"";"";"";"0";"211.32";"";"Frame drums with handle";;
;;;;;;"211.321 Single-skin frame drums with handle";;;;"LEXICON_00000119";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The single tightly stretched membrane is directly struck by the player, using the hands or intermediate devices such as sticks. Inuit.";"";"";"";"0";"211.321";"";"Single-skin frame drums with handle";;
;;;;;;;"211.321-86 Single-skin frame drums with handle with cord-and-peg bracing";;;"LEXICON_00006445";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The single tightly stretched membrane is directly struck by the player, using the hands or intermediate devices such as sticks. With membrane laced to drum.";"";"";"";"0";"";"";"";;
;;;;;;;"211.321-92 Single-skin frame drums with handle with membrane lapped onto a hoop";;;"LEXICON_00006446";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The single tightly stretched membrane is directly struck by the player, using the hands or intermediate devices such as sticks.  With membrane lapped onto a hoop.";"";"";"";"0";"";"";"";;
;;;;;;"211.322 Double-skin frame drums with handle";;;;"LEXICON_00000120";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The body is enclosed by tightly stretched membranes that are directly struck by the player, using the hands or intermediate devices such as sticks. Tibet.";"";"";"LEXICON_00005361";"3";"211.322";"";"Double-skin frame drums with handle";;
;;;"212 Rattle drums";;;;;;;"LEXICON_00000121";"NT";"Hornbostel - Sachs";"Standard";"Tightly stretched membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"LEXICON_00006055";"20";"212";;"Rattle drums";;
;;;;"212.1 Vessel rattle drums";;;;;;"LEXICON_00005580";"NT";"Hornbostel - Sachs";"Standard";"Drums with single tightly stretched membranes enclosing drum bodies in the form of vessels that are curvilinear or rectilinear in profile. The membranes are indirectly struck by enclosed pellets, or similar objects, when the drum is shaken. (Unknown).";"";"";"";"0";"212.1";;"Vessel rattle drums";;
;;;;"212.2 Tubular rattle drums";;;;;;"LEXICON_00005581";"NT";"Hornbostel - Sachs";"Standard";"Drums with tubular bodies and tightly stretched membranes enclosing both ends. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.2";;"Tubular rattle drums";;
;;;;;"212.21 Cylindrical rattle drums";;;;;"LEXICON_00005582";"NT";"Hornbostel - Sachs";"Standard";"Drums with tubular bodies that have the same diameter at the middle and the ends. The drum bodies are enclosed by a tightly stretched membrane at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.21";"";"Cylindrical rattle drums";;
;;;;;;"212.211 Individual cylindrical rattle drums";;;;"LEXICON_00005583";"NT";"Hornbostel - Sachs";"Standard";"An individual drum with a tubular body that has the same diameter at the middle and the ends. The drum body is enclosed by a tightly stretched membrane at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.211";"";"Individual cylindrical rattle drums";;
;;;;;;"212.212 Sets of cylindrical rattle drums";;;;"LEXICON_00005584";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums with tubular bodies that have the same diameter at the middle and the ends. Each drum body is enclosed by a tightly stretched membrane at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.212";"";"Sets of cylindrical rattle drums";;
;;;;;"212.22 Barrel-shaped rattle drums";;;;;"LEXICON_00005585";"NT";"Hornbostel - Sachs";"Standard";"Drums with barrel-shaped bodies, where the diameter is larger at the middle than at the ends. The drum bodies are enclosed by a tightly stretched membrane at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.22";"";"Barrel-shaped rattle drums";;
;;;;;;"212.221 Individual barrel-shaped rattle drums";;;;"LEXICON_00005586";"NT";"Hornbostel - Sachs";"Standard";"An individual drum with a barrel-shaped body in which the diameter is larger at the middle than at the ends. The drum body is enclosed by a tightly stretched membrane at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.221";"";"Individual barrel-shaped rattle drums";;
;;;;;;"212.222 Sets of barrel-shaped rattle drums";;;;"LEXICON_00005587";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums with barrel-shaped bodies, where the diameter is larger at the middle than at the ends. Each drum body is enclosed by a tightly stretched membrane at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.222";"";"Sets of barrel-shaped rattle drums";;
;;;;;"212.23 Double-conical rattle drums";;;;;"LEXICON_00005588";"NT";"Hornbostel - Sachs";"Standard";"Drums with tubular bodies that have a larger diameter at the middle than at the ends. The drum bodies are rectilinear, with an angular profile. Tightly stretched membranes enclose the body at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken. (Unknown).";"";"";"";"0";"212.23";"";"Double-conical rattle drums";;
;;;;;;"212.231 Individual double-conical rattle drums";;;;"LEXICON_00005589";"NT";"Hornbostel - Sachs";"Standard";"An individual drum with a tubular body that has a larger diameter at the middle than at the ends. The drum body is rectilinear, with an angular profile. Tightly stretched membranes enclose the body at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.231";"";"Individual double-conical rattle drums";;
;;;;;;"212.232 Sets of double-conical rattle drums";;;;"LEXICON_00005590";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums with tubular bodies that have a larger diameter at the middle than at the ends. The drum bodies are rectilinear, with an angular profile. Tightly stretched membranes enclose each drum body at either end. The membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.232";"";"Sets of double-conical rattle drums";;
;;;;;"212.24 Hourglass-shaped rattle drums";;;;;"LEXICON_00005591";"NT";"Hornbostel - Sachs";"Standard";"Drums with tubular bodies that have a smaller diameter at the middle than at the ends. Tightly stretched membranes enclose the body at either end. The membranes are indirectly struck by pendant pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.24";;"Hourglass-shaped rattle drums";;
;;;;;;"212.241 Individual hourglass-shaped rattle drums";;;;"LEXICON_00005592";"NT";"Hornbostel - Sachs";"Standard";"An individual drum with a tubular body that has a smaller diameter at the middle than at the ends. Tightly stretched membranes enclose the body at either end. The membranes are indirectly struck by pendant pellets, or similar objects, when the drum is shaken. India.";"";"";"LEXICON_00002548";"59";"212.241";"";"Individual hourglass-shaped rattle drums";;
;;;;;;"212.242 Sets of hourglass-shaped rattle drums";;;;"LEXICON_00005593";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums with tubular bodies that have a smaller diameter at the middle than at the ends. Tightly stretched membranes enclose each drum body at either end. The membranes are indirectly struck by pendant pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.242";"";"Sets of hourglass-shaped rattle drums";;
;;;;;;;"212.242-7 Sets of hourglass-shaped rattle drums with membrane nailed to drum";;;"LEXICON_00006447";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums with tubular bodies that have a smaller diameter at the middle than at the ends. Tightly stretched membranes enclose each drum body at either end. The membranes are indirectly struck by pendant pellets, or similar objects, when the drum is shaken. With membrane nailed to drum.";"";"";"";"0";"";"";"";;
;;;;;;;"212.242-91 Sets of hourglass-shaped rattle drums with membrane lapped onto a ring of cord";;;"LEXICON_00006448";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums with tubular bodies that have a smaller diameter at the middle than at the ends. Tightly stretched membranes enclose each drum body at either end. The membranes are indirectly struck by pendant pellets, or similar objects, when the drum is shaken.  With membrane lapped onto a ring of cord.";"";"";"";"0";"";"";"";;
;;;;"212.3 Frame rattle drums";;;;;;"LEXICON_00005594";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The tightly stretched membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.3";"";"Frame rattle drums";;
;;;;;"212.31 Single-skin frame rattle drums";;;;;"LEXICON_00005595";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The single tightly stretched membrane is indirectly struck by pendant pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.31";"";"Single-skin frame rattle drums";;
;;;;;;"212.31-92 Single-skin frame rattle drums with membrane lapped onto a hoop";;;;"LEXICON_00006449";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The single tightly stretched membrane is indirectly struck by pendant pellets, or similar objects, when the drum is shaken.  With membrane lapped onto a hoop.";"";"";"";"0";"";"";"";;
;;;;;"212.32 Double-skin frame rattle drums";;;;;"LEXICON_00005596";"NT";"Hornbostel - Sachs";"Standard";"Drums in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The tightly stretched membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken.";"";"";"";"0";"212.32";"";"Double-skin frame rattle drums";;
;;;;;;"212.321 Individual double-skin frame rattle drums";;;;"LEXICON_00005597";"NT";"Hornbostel - Sachs";"Standard";"An individual drum in which the depth of the body does not exceed the radius of the membrane. A stick forming a handle is attached to the frame in line with its diameter. The tightly stretched membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken. India.";"";"";"";"0";"212.321";"";"Individual double-skin frame rattle drums";;
;;;;;;"212.322 Sets of double-skin frame rattle drums";;;;"LEXICON_00005598";"NT";"Hornbostel - Sachs";"Standard";"Sets of drums in each one of which the depth of the body does not exceed the radius of the membrane. A stick forming a handle passes through all the drum bodies. The tightly stretched membranes are indirectly struck by pendant or enclosed pellets, or similar objects, when the drum is shaken. China.";"";"";"";"0";"212.322";"";"Sets of double-skin frame rattle drums";;
;;"23 Friction drums";;;;;;;;"LEXICON_00000123";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by tightly stretched membranes made to vibrate by friction.";"";"";"";"0";"23";;"Friction drums";;
;;;"231 Friction drums with stick";;;;;;;"LEXICON_00000124";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by tightly stretched membranes, made to vibrate by friction. A stick in contact with the membrane is either itself rubbed, or is employed to rub the membrane.";"";"";"";"0";"231";;"Friction drums with stick";;
;;;;"231.1 Friction drums with inserted stick";;;;;;"LEXICON_00000125";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction with a stick that passes through a hole in it. The stick is either itself rubbed, or is employed to rub the membrane.";"";"";"";"0";"231.1";;"Friction drums with inserted stick";;
;;;;;"231.11 Friction drums with fixed stick";;;;;"LEXICON_00000126";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane, made to vibrate by friction. A fixed stick makes contact with the membrane, passing through a hole in it. The stick is subjected to friction by rubbing. Africa.";"";"";"LEXICON_00008362;LEXICON_00005381";"1";"231.11";;"Friction drums with fixed stick";;
;;;;;"231.12 Friction drums with semi-fixed stick";;;;;"LEXICON_00000127";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction with a stick that passes through a hole in it. The stick is movable to a sufficient extent to rub the membrane when it is itself rubbed by the hand. Africa.";"";"";"LEXICON_00005300";"0";"231.12";;"Friction drums with semi-fixed stick";;
;;;;;"231.13 Friction drums with free stick";;;;;"LEXICON_00000128";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction with a stick that passes through a hole in it. The stick can be moved freely; it is not itself rubbed, but is employed to rub the membrane. Venezuela.";"";"";"";"0";"231.13";;"Friction drums with free stick";;
;;;;"231.2 Friction drums with tied stick";;;;;;"LEXICON_00000129";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction. A stick makes contact with the membrane, passing through a hole in it. The stick is tied to the membrane in an upright position. Europe.";"";"";"LEXICON_00004686;LEXICON_00004688;LEXICON_00004699";"54";"231.2";;"Friction drums with tied stick";;
;;;"232 Friction drums with cord";;;;;;;"LEXICON_00000130";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction. A cord attached to the membrane is rubbed.";"";"";"";"0";"232";;"Friction drums with cord";;
;;;;"232.1 Stationary friction drums with friction cord";;;;;;"LEXICON_00000131";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by tightly stretched membranes made to vibrate by friction. A cord, attached to the membrane, is rubbed. The drum is held stationary. Europe, Africa.";"";"";"";"0";"232.1";;"Stationary friction drums with friction cord";;
;;;;;"232.11 Single-skin stationary drums with friction cord";;;;;"LEXICON_00000132";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched single membrane made to vibrate by friction when a cord, attached to the membrane is rubbed. The drum is held stationary.";"";"";"LEXICON_00004684;LEXICON_00004685";"5";"232.11";;"Single-skin stationary drums with friction cord";;
;;;;;"232.12 Double-skin stationary drums with frictioncord";;;;;"LEXICON_00000133";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by two tightly stretched membranes made to vibrate by friction when a cord, attached to them, is rubbed. The drum is held stationary.";"";"";"";"0";"232.12";;"Double-skin stationary drums with frictioncord";;
;;;;"232.2 Friction drum with whirling stick";;;;;;"LEXICON_00000134";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction. The drum is whirled on a cord which rubs on a [resined] notch in the holding stick. Waldteufel [cardboard buzzer]. Europe, India, E. Africa.";"";"";"LEXICON_00004690;LEXICON_00004698";"26";"232.2";;"Friction drum with whirling stick";;
;;;"233 Hand friction drums";;;;;;;"LEXICON_00000135";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by friction when rubbed by the hand.";"";"";"";"0";"233";"";"Hand friction drums";;
;;"24 Singing membranes (Kazoos)";;;;;;;;"LEXICON_00000137";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by speaking or singing into it; the sound of the membrane modifies that of the voice. Europe, W. Africa.";"";"";"";"0";"24";"";"Singing membranes (Kazoos)";;
;;;"241 Free kazoos";;;;;;;"LEXICON_00000138";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by speaking or singing into it; the sound of the membrane modifies that of the voice. The membrane is incited directly, without the wind first passing through a chamber. Comb-and-paper.";"";"";"";"0";"241";"";"Free kazoos";;
;;;"242 Tube- or vessel-kazoos";;;;;;;"LEXICON_00000139";"NT";"Hornbostel - Sachs";"Standard";"The sound is excited by a tightly stretched membrane made to vibrate by speaking or singing into it; the sound of the membrane modifies that of the voice. The membrane is placed on top of a tube or box. Africa; while also, E. Asian flutes with a lateral hole sealed by a membrane, exhibit an affinity with the principle of the tube kazoo.";"";"";"LEXICON_00002349;LEXICON_00002351;LEXICON_00002352;LEXICON_00002353";"105";"242";"";"Tube- or vessel-kazoos";;
;"3 Chordophones";;;;;;;;;"LEXICON_00000140";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points.";"";"";"";"0";"3";;"Chordophones";;
;;"31 Simple chordophones or zithers";;;;;;;;"LEXICON_00000141";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus.";"";"";"";"0";"31";;"Simple chordophones or zithers";;
;;;"311 Bar zithers";;;;;;;"LEXICON_00000142";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is bar-shaped; it may be a board placed edgewise.";"";"";"";"0";"311";"";"Bar zithers";;
;;;;"311.1 Musical bows";;;;;;"LEXICON_00000143";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved).";"";"";"LEXICON_00006315";"1";"311.1";"";"Musical bows";;
;;;;;"311.11 ldiochord musical bows";;;;;"LEXICON_00000144";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The strings are cut from the bark of the cane, remaining attached at each end.";"";"";"";"0";"311.11";"";"ldiochord musical bows";;
;;;;;;"311.111 Mono-idiochord musical bows";;;;"LEXICON_00000145";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The string is cut from the bark of the cane, remaining attached at each end. New Guinea (Sepik R.), Togo.";"";"";"";"0";"311.111";"";"Mono-idiochord musical bows";;
;;;;;;"311.112 Poly-idiochord musical bows or harp-bows";;;;"LEXICON_00000146";"NT";"Hornbostel - Sachs";"Standard";"Several strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The strings are cut from the bark of the cane, remaining attached at each end. They pass over a toothed stick or bridge. W. Africa (Fan).";"";"";"";"0";"311.112";"";"Poly-idiochord musical bows or harp-bows";;
;;;;;"311.12 Heterochord musical bows";;;;;"LEXICON_00000147";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The strings are of separate material from the string bearer.";"";"";"";"0";"311.12";"";"Heterochord musical bows";;
;;;;;;"311.121 Mono-heterochord musical bows";;;;"LEXICON_00000148";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The string is of separate material from the string bearer.";"";"";"";"0";"311.121";"";"Mono-heterochord musical bows";;
;;;;;;;"311.121.1 Mono-heterochord musical bows without resonator";;;"LEXICON_00000149";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer, and it has no resonator. (The human mouth is not to be taken into account as a resonator.) The string bearer is flexible (and curved). The string is of separate material from the string bearer. NB: if a separate, unattached resonator is used, the specimen belongs to 311.121.21.";"";"";"LEXICON_00003523;LEXICON_00003524;LEXICON_00003529;LEXICON_00005355";"14";"311.121.1";"";"Mono-heterochord musical bows without resonator";;
;;;;;;;;"311.121.11 Mono-heterochord musical bows without resonator or tuning noose";;"LEXICON_00000150";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer, and it has no tuning noose or resonator. (The human mouth is not to be taken into account as a resonator.) The string bearer is flexible (and curved). The string is of separate material from the string bearer. Africa (ganza, samuius, to).";"";"";"LEXICON_00007055";"1";"311.121.11";"";"Mono-heterochord musical bows without resonator or tuning noose";;
;;;;;;;;"311.121.12 Mono-heterochord musical bows without resonator, with tuning noose";;"LEXICON_00000151";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer, and it has no resonator. (The human mouth is not to be taken into account as a resonator.) The string bearer is flexible (and curved). The string is of separate material from the string bearer. A fibre noose is passed round the string, dividing it into two sections. South-equatorial Africa (n’kungo, uta).";"";"";"";"0";"311.121.12";"";"Mono-heterochord musical bows without resonator, with tuning noose";;
;;;;;;;;"311.121.1-5 Mono-heterochord musical bows without resonator sounded by the bare fingers";;"LEXICON_00006451";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer, and it has no resonator. (The human mouth is not to be taken into account as a resonator.) The string bearer is flexible (and curved). The string is of separate material from the string bearer. Sounded by the bare fingers.";"";"";"";"0";"";"";"";;
;;;;;;;"311.121.2 Mono-heterochord musical bows with resonator";;;"LEXICON_00000152";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer with a resonator which is not integral, and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The string is of separate material from the string bearer.";"";"";"";"0";"311.121.2";"";"Mono-heterochord musical bows with resonator";;
;;;;;;;;"311.121.21 Mono-heterochord musical bows with independent resonator";;"LEXICON_00000153";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer with an independent resonator. The string bearer is flexible (and curved). The string is of separate material from the string bearer. Borneo (busoi).";"";"";"";"0";"311.121.21";;"Mono-heterochord musical bows with independent resonator";;
;;;;;;;;"311.121.22 Mono-heterochord musical bows with resonator attached";;"LEXICON_00000154";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer with a resonator that can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The string is of separate material from the string bearer.";"";"";"LEXICON_00003528;LEXICON_00007051;LEXICON_00003551";"12";"311.121.22";"";"Mono-heterochord musical bows with resonator attached";;
;;;;;;;;;"311.121.221 Mono-heterochord musical bows with resonator attached, without tuning noose";"LEXICON_00000155";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer with a resonator that can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The string is of separate material from the string bearer. The string has no tuning noose. S. Africa (hade, thomo).";"";"";"";"0";"311.121.221";"";"Mono-heterochord musical bows with resonator attached, without tuning noose";;
;;;;;;;;;"311.121.222 Mono-heterochord musical bows with resonator attached with tuning noose";"LEXICON_00000156";"NT";"Hornbostel - Sachs";"Standard";"A single string is stretched between fixed points. The instrument consists of a string bearer with a resonator that can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The string is of separate material from the bearer. A fibre noose is passed round the string, dividing it into two sections. S. Africa, Madagascar (gubo, hungo, bobre).";"";"";"";"0";"311.121.222";"";"Mono-heterochord musical bows with resonator attached with tuning noose";;
;;;;;;"311.122 Poly-heterochord musical bows";;;;"LEXICON_00000157";"NT";"Hornbostel - Sachs";"Standard";"Several strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The strings are of separate material from the string bearer.";"";"";"";"0";"311.122";"";"Poly-heterochord musical bows";;
;;;;;;;"311.122.1 Poly-heterochord musical bows without tuning noose";;;"LEXICON_00000158";"NT";"Hornbostel - Sachs";"Standard";"Several strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The strings are of separate material from the string bearer. The strings have no tuning noose. Oceania (kalove).";"";"";"LEXICON_00003522";"1";"311.122.1";"";"Poly-heterochord musical bows without tuning noose";;
;;;;;;;"311.122.2 Poly-heterochord musical bows with tuning noose";;;"LEXICON_00000159";"NT";"Hornbostel - Sachs";"Standard";"Several strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is flexible (and curved). The strings are of separate material from the string bearer. A fibre noose is passed round the strings, dividing them into two sections. Oceania (pagolo).";"";"";"";"0";"311.122.2";"";"Poly-heterochord musical bows with tuning noose";;
;;;;"311.2 Stick zithers";;;;;;"LEXICON_00000160";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string carrier is rigid.";"";"";"";"0";"311.2";"";"Stick zithers";;
;;;;;"311.21 Musical bow cum stick";;;;;"LEXICON_00000161";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string bearer is a stick with one flexible, curved end. India NB Stick zithers with both ends flexible and curved, like the Basuto bow, are counted as musical bows.";"";"";"";"0";"311.21";"";"Musical bow cum stick";;
;;;;;"311.22 (True) stick zithers";;;;;"LEXICON_00000162";"NT";"Hornbostel - Sachs";"Standard";"One or more strings are stretched between fixed points. The instrument consists of a string bearer, or of a string bearer with a resonator which is not integral and can be detached without destroying the sound-producing apparatus. The string carrier is a rigid stick. NB Round sticks which happen to be hollow by chance do not belong on this account to the tube zithers, but are round bar zithers; however, instruments in which a tubular cavity is employed as a true resonator, like the modern Mexican harpa, are tube zithers.";"";"";"LEXICON_00003630;LEXICON_00003631;LEXICON_00004789;LEXICON_00003676;LEXICON_00004952;LEXICON_00004786";"409";"311.22";"";"(True) stick zithers";;
