Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00002297;;;Piano organisé;;;;LEXICON_00000182;2;;;
LEXICON_00002298;;;Piano table;;;;LEXICON_00000182;0;;;
LEXICON_00002299;;;Pianoforte;Piano-forte;;;;127;;;
LEXICON_00002301;;;Piano-guitar;;;;;1;;;
LEXICON_00002306;;;Pyramid pianoforte;Pyramidal piano;;;;16;;;
LEXICON_00005726;;;Sostenente piano;;;;;0;;;
LEXICON_00002308;;;Square pianoforte;;;;LEXICON_00006458;452;;;
LEXICON_00002310;;;Tangent piano;;;;;8;;;
LEXICON_00002311;;;Upright pianoforte;Vertical pianoforte;;;LEXICON_00006458;248;;;
LEXICON_00002233;;Reed organs;;;;;;0;;;
LEXICON_00006643;;;Claviphone;;;;;3;;;
LEXICON_00002234;;;Harmonichord;;;;;2;;;
LEXICON_00006652;;;Harmoniphone;;;;;2;;;
LEXICON_00002235;;;Harmonium;;;;;152;;;
LEXICON_00006674;;;Mouth harmonium;;;;;3;;;
LEXICON_00006543;;;Physharmonica;;;;LEXICON_00000236;29;;;
LEXICON_00002236;;;Poikilorgue;Poïkilorgue;;;;4;;French;
LEXICON_00005767;;;Reed organ;American organ;;;;5;;;
LEXICON_00002237;;;Regal;Regals;;;LEXICON_00006485;26;;;
LEXICON_00006691;;;Tonoscope-harmonium;;;;;4;;;
LEXICON_00002316;;Synthesizers;;;;;;0;;;
LEXICON_00002317;;;Buchla;;;;;0;;;
LEXICON_00002318;;;Electric organ;;;;;24;;;
LEXICON_00002319;;;Electronic organ;;;;;27;;;
LEXICON_00002320;;;Synclavier;;;;;1;;;
LEXICON_00002321;;;Synthesizer;Electronic wind instrument;;;LEXICON_00006169;70;;;
LEXICON_00004475;Mechanical instruments;;;;;;;0;;;
LEXICON_00004476;;Mechanical;;;;;;0;;;
LEXICON_00006626;;;Amorette;;;;LEXICON_00006487;1;;;
LEXICON_00004480;;;Antiphonel;;;;;0;;French;
LEXICON_00006627;;;Ariosa;;;;LEXICON_00006487;2;;;
LEXICON_00006628;;;Ariston;;;;LEXICON_00006487;4;;;
LEXICON_00004483;;;Automaton;;;;;26;;;
LEXICON_00004484;;;Autopanphone;;;;;0;;French;
LEXICON_00006629;;;Autopiano;Pianauto;;;;2;;;
LEXICON_00006630;;;Autopleyela;;;;;0;;;
LEXICON_00004485;;;Barrel organ;"Book organ;Street organ";;;LEXICON_00006489;30;;;
LEXICON_00004486;;;Bird organ;Perroquette;;;;52;;;
LEXICON_00006638;;;Cartonium;;;;LEXICON_00006487;2;;;
LEXICON_00004487;;;Componium;;;;;2;;;
LEXICON_00006646;;;Cylinder dulcimer;Cilinderspinet;;;LEXICON_00006462;3;;;
LEXICON_00004488;;;Fairground organ;;;;;6;;;
LEXICON_00006650;;;Gem roller organ;;;;;0;;;
LEXICON_00006655;;;Harmonista;;;;;3;;;
LEXICON_00006656;;;Herophon;;;;LEXICON_00006487;4;;;
LEXICON_00006657;;;Humanola;;;;;2;;;
LEXICON_00006658;;;Kalliope;;;;;2;;;
LEXICON_00006659;;;Kalliston;;;;LEXICON_00006487;4;;;
LEXICON_00006665;;;Komet;;;;;2;;;
LEXICON_00004489;;;Limonaire;;;;;3;;French;
LEXICON_00006668;;;Manopan;;;;LEXICON_00006487;6;;;
LEXICON_00006139;;;Mechanical accordion;;;;;1;;;
LEXICON_00004532;;;Mechanical clock;"Chime playing Clock;Dulcimer playing clock;Musical clock;Organ playing clock";;;;45;;;
LEXICON_00004491;;;Mechanical dulcimer;;;;;2;;;
LEXICON_00006669;;;Mechanical harmonium;;;;LEXICON_00006487;9;;;
LEXICON_00004492;;;Mechanical harpsichord;Geigenwerk;;;;0;;;
LEXICON_00004493;;;Mechanical organ;;;;;97;;;
LEXICON_00004897;;;Mechanical spinet;;;;;0;;;
LEXICON_00006140;;;Mechanical zither;;;;;5;;;
LEXICON_00006671;;;Melotrope;;;;;2;;;
LEXICON_00006672;;;Mezon;;;;LEXICON_00006487;1;;;
LEXICON_00006673;;;Mira;;;;;1;;;
LEXICON_00004494;;;Musical box;"Cylinder music box;Disc music box";;;LEXICON_00006422;216;;;
LEXICON_00004495;;;Orchestrion;;;;;20;;;
LEXICON_00004902;;;Organette;Mechanical free reed organ;;;;15;;;
LEXICON_00006679;;;Organina;;;;LEXICON_00006487;0;;;
LEXICON_00004496;;;Panharmonicon;Penharmonikon;;;;0;;;
LEXICON_00006682;;;Phonola;;;;;2;;;
LEXICON_00006578;;;Piano player;Push-up;;;;24;;;
LEXICON_00004497;;;Player piano;Pianola;;;;13;;;
LEXICON_00006683;;;Pneumatic piano;;;;;4;;;
LEXICON_00004498;;;Polyphon;;;;;8;;;
LEXICON_00006688;;;Symphonion;;;;;4;;;
LEXICON_00006690;;;Tingel-tangel;;;;;0;;;
LEXICON_00004499;;;Triola;;;;;0;;;
LEXICON_00002347;Mirlitons;;;;;;;0;;;
LEXICON_00002348;;Mirlitons;;;;;;0;;;
LEXICON_00002349;;;Eunuch flute;Eunuch-flute;;;LEXICON_00000139;7;;;
LEXICON_00002351;;;Kazoo;;;;LEXICON_00000139;10;;;
LEXICON_00002352;;;Mirliton;;;;LEXICON_00000139;35;;;
LEXICON_00002353;;;Nyastaranga;;;;LEXICON_00000139;11;;;
LEXICON_00002354;Other instruments;;;;;;;0;;;
LEXICON_00002355;;Others;;;;;;0;;;
LEXICON_00002358;;;Crystal Baschet;;;;LEXICON_00000081;3;;;
LEXICON_00004769;;;Crystallophone;cristallophone;;;LEXICON_00000018;4;;;
LEXICON_00004932;;;Dulcitone;;;;LEXICON_00006419;3;;;
LEXICON_00004838;;;Friction idiophone;;;;LEXICON_00000070;25;;;
LEXICON_00006649;;;Fusu de nuxi;;;;LEXICON_00000070;2;;;
LEXICON_00002359;;;Glasschord;Glacechord;;;;2;;;
LEXICON_00006404;;;Horse's hoof effect;;;;;1;;;
LEXICON_00002361;;;Jaltarang;;;;LEXICON_00000022;2;;;
LEXICON_00006547;;;Klaxon;;;;LEXICON_00000235;8;;;
LEXICON_00002362;;;Mattauphone;;;;LEXICON_00000081;4;;;
LEXICON_00002364;;;Musical glasses;"Glasharmonica;Glass armonica";;;LEXICON_00000081;20;;;
LEXICON_00002368;;;Musical saw;;;;;13;;;
LEXICON_00002369;;;Nail violin;;;;LEXICON_00000074;36;;;
LEXICON_00006403;;;Turtle shell;;;;LEXICON_00000080;2;;;
LEXICON_00002370;Percussion instruments;;;;;;;0;;;
LEXICON_00002371;;Bells;;;;;;0;;;
LEXICON_00002372;;;Abanangbweli;;;;LEXICON_00005536;2;;;
LEXICON_00002373;;;Agogo;"Ogebe;Ugebe";;;;2;;;
LEXICON_00005139;;;Agongon;;;;LEXICON_00000029;2;;;
LEXICON_00002376;;;Ambassa;;;;LEXICON_00000032;2;;;
LEXICON_00004660;;;Apertintaille;;;;LEXICON_00005536;2;;;
LEXICON_00002377;;;Aporo;;;;LEXICON_00005533;1;;;
LEXICON_00002378;;;Banka;"Ekon;Ekong";;;;0;;;
LEXICON_00002381;;;Bell;;;;"LEXICON_00000028;LEXICON_00005535";1058;;;
LEXICON_00006268;;;Bells belt;;;;LEXICON_00005536;3;;;
LEXICON_00002382;;;Bianzhong;"Bianschong;Pienchong;Pyeonjong";;;;0;;;
LEXICON_00002384;;;Bozhong;"Niuzhong;Pochoong;Sung-chong;Yongzhong";;;LEXICON_00000031;3;;;
LEXICON_00006274;;;Cai tiu;;;;LEXICON_00000029;2;;;
LEXICON_00002387;;;Carillon;Glockenspiel;;;LEXICON_00000018;9;;French;
LEXICON_00002389;;;Cencerro;;;;;1;;;
LEXICON_00006796;;;Chung;;;;LEXICON_00000031;2;;;
LEXICON_00002390;;;Cowbell;"Cow bell;Cow bells;Cowbells";;;"LEXICON_00000027;LEXICON_00000031";343;;;
LEXICON_00005185;;;Dawuro;;;;;2;;;
LEXICON_00002395;;;Dibu;;;;LEXICON_00000032;1;;;
LEXICON_00002396;;;Dibu dimbwa;;;;LEXICON_00000032;0;;;
LEXICON_00002397;;;Dibu dinganga;Dibu di nganga;;;LEXICON_00000032;3;;;
LEXICON_00002399;;;Dotaku;;;;;0;;;
LEXICON_00005498;;;Double bell;;;;;75;;;
LEXICON_00002400;;;Dril-bu;"Dril bu;Drilbu";;;;18;;;
LEXICON_00002401;;;Ekiro;Ekirei;;;;2;;;
LEXICON_00006622;;;Electric carillon;;;;LEXICON_00006156;3;;;
LEXICON_00005476;;;Gentorak;;;;;2;;;
LEXICON_00002403;;;Ghanta;;;;;6;;;
LEXICON_00004864;;;Ghungru;;;;LEXICON_00000046;4;;;
LEXICON_00006651;;;Gshang;;;;LEXICON_00000032;2;;;
LEXICON_00002404;;;Handbell;;;;;179;;;
LEXICON_00002406;;;Hansho;;;;;3;;;
LEXICON_00002407;;;Kili;;;;LEXICON_00000032;1;;;
LEXICON_00002408;;;Kin;Dobachi;;;LEXICON_00000029;0;;;
LEXICON_00005263;;;Klengkleng;;;;;1;;;
