Identifier;Level_1;Level_2;Level_3;Synonyms;YOUR LANGUAGE;Synonyms (YOUR LANGUAGE) ;H&S link;Nb of instruments;Définition;Original language;URI_DBPEDIA
LEXICON_00002536;;;Daire;"Dahare;Dahareh;Dahira;Daira;Da'ira;Dairea;Dajre;Dara;Dayre;Diayrah;Doira;Ghera";;;LEXICON_00000116;15;;;
LEXICON_00005183;;;Daluka;;;;;1;;;
LEXICON_00002548;;;Damaru;"Dambaru;Damru";;;LEXICON_00005592;30;;;
LEXICON_00002551;;;Dap;;;;;1;;;
LEXICON_00002552;;;Daph;Dampha;;;LEXICON_00000116;3;;;
LEXICON_00002554;;;Darabukka;"Daraboukkeh;Darabuke;Darbouka;Darboukka;Darbuka;Darbukka;Derbouka";;;LEXICON_00000112;84;;;
LEXICON_00004855;;;Davandai;;;;;5;;;
LEXICON_00002561;;;Davul;"Daholl;Dohol";;;;6;;;
LEXICON_00005186;;;Debakan;;;;;0;;;
LEXICON_00002564;;;Def;"Defi;Tef";;;;9;;;
LEXICON_00005187;;;Dhah;;;;;1;;;
LEXICON_00002567;;;Dhak;"Deru;Dhakka";;;;5;;;
LEXICON_00002570;;;Dhimay;Dhime;;;;4;;;
LEXICON_00005190;;;Dhimayca;;;;;0;;;
LEXICON_00002572;;;Dhol;;;;LEXICON_00005542;19;;;
LEXICON_00002573;;;Dholak;"Dholac;Dholki;Dhulki;Dolak;Dulki";;;"LEXICON_00005542;LEXICON_00005552";16;;;
LEXICON_00004857;;;Dindimi;;;;LEXICON_00000116;3;;;
LEXICON_00004680;;;Diplipito;Dimplipito;;;LEXICON_00000099;2;;;
LEXICON_00005735;;;Ditumba;Etumba;;;LEXICON_00000112;2;;;
LEXICON_00002579;;;Djembe;Jembe;;;;3;;;
LEXICON_00002581;;;Djoungdjoung;"Dundu;Dundun";;;LEXICON_00005562;1;;;
LEXICON_00004931;;;Dogdog;;;;;1;;;
LEXICON_00005188;;;Dohol;;;;;3;;;
LEXICON_00002584;;;Donno;Dondo;;;;19;;;
LEXICON_00005690;;;Double-conical drum;;;;LEXICON_00000109;53;;;
LEXICON_00002585;;;Drum;;;;;486;;;
LEXICON_00004682;;;Duba;"Doba;Doba";;;LEXICON_00000116;3;;;
LEXICON_00002586;;;Duff;Daff;;;LEXICON_00000116;7;;;
LEXICON_00004860;;;Dukkar;;;;;0;;;
LEXICON_00002588;;;Duma;Douma;;;;0;;;
LEXICON_00002590;;;Dumbelek;"Deblek;Deplik;Dombelik;Dumbek";;;;1;;;
LEXICON_00002595;;;Ekole;;;;LEXICON_00000035;1;;;
LEXICON_00002596;;;Engalabi;;;;LEXICON_00006431;3;;;
LEXICON_00005201;;;Ese;;;;;6;;;
LEXICON_00004684;;;Fanfrnoch;;;;LEXICON_00000132;2;;;
LEXICON_00002597;;;Fodrahi;;;;;2;;;
LEXICON_00005189;;;Fontomfrom;;;;;0;;;
LEXICON_00002598;;;Frame drum;;;;LEXICON_00000114;204;;;
LEXICON_00002599;;;Friction drum;;;;;79;;;
LEXICON_00002600;;;Furitsuzumi;Furi-tsuzumi;;;;0;;;
LEXICON_00002601;;;Gakudaiko;Gaku-daiko;;;;1;;;
LEXICON_00005207;;;Gandang;;;;;4;;;
LEXICON_00002602;;;Ganga;;;;LEXICON_00000117;2;;;
LEXICON_00006294;;;Garamut;Mi;;;LEXICON_00000035;7;;;
LEXICON_00002603;;;Garawung;Garawon;;;;0;;;
LEXICON_00002605;;;Gata-bere;;;;;2;;;
LEXICON_00002606;;;Gaza;;;;LEXICON_00002189;1;;;
LEXICON_00005208;;;Geduk;;;;;2;;;
LEXICON_00002607;;;Gendang;Kendang;;;;2;;;
LEXICON_00005211;;;Genderang;;;;;9;;;
LEXICON_00002609;;;Ghata;Ghatam;;;;2;;;
LEXICON_00005215;;;Ghaval;;;;;0;;;
LEXICON_00005216;;;Gimbal;;;;;1;;;
LEXICON_00005220;;;Gimbar;;;;LEXICON_00000105;1;;;
LEXICON_00002610;;;Glaw ng yao;;;;LEXICON_00000112;1;;Thaï;
LEXICON_00002611;;;Go;;;;LEXICON_00002189;4;;;
LEXICON_00002612;;;Goblet drum;Goblet shaped drum;;;;444;;;
LEXICON_00005217;;;Gondang;;;;;5;;;
LEXICON_00005221;;;Gongand;;;;LEXICON_00000105;0;;;
LEXICON_00005509;;;Gordang;;;;LEXICON_00000103;1;;;
LEXICON_00005137;;;Gu;;;;LEXICON_00000117;3;;;
LEXICON_00004866;;;Gummati;;;;LEXICON_00000112;4;;;
LEXICON_00004867;;;Halgi;;;;;2;;;
LEXICON_00005000;;;Henggelege;Henggeli;;;;0;;;
LEXICON_00002615;;;Herrazi;Harrazi;;;;0;;;
LEXICON_00002617;;;Hourglass drum;Hourglass shaped drum;;;;132;;;
LEXICON_00002620;;;Huagu;Hwa kou;;;;2;;;
LEXICON_00002622;;;Huaigu;Diangu;;;;4;;;
LEXICON_00002623;;;Huangnigu;"Changgu;Chang-kou";;;;0;;;
LEXICON_00002626;;;Hudko;;;;;0;;;
LEXICON_00004868;;;Hudukka;;;;LEXICON_00005562;2;;;
LEXICON_00002627;;;Huolang gu;"Clontong;Tao kou;Taogu";;;;0;;;
LEXICON_00002631;;;Huruk;;;;;5;;;
LEXICON_00002632;;;Idakka;"Edaka;Edakkya;Itekka";;;;0;;;
LEXICON_00004869;;;Jagajhampa;;;;LEXICON_00002187;4;;;
LEXICON_00006121;;;Jevetya;;;;LEXICON_00005559;1;;;
LEXICON_00004872;;;Joraghai;;;;LEXICON_00005545;0;;;
LEXICON_00002636;;;Ka;"Groka;Gwo ka;Gwoka";;;;0;;;
LEXICON_00002640;;;Kabaro;;;;LEXICON_00000106;2;;;
LEXICON_00005245;;;Kagan;;;;;2;;;
LEXICON_00002641;;;Kakko;;;;;3;;;
LEXICON_00002642;;;Kalangu;"Danko;Kalanggual;Kalungu";;;;1;;;
LEXICON_00002646;;;Kalgo;;;;;0;;;
LEXICON_00002647;;;Kamango;Kamanga;;;;0;;;
LEXICON_00002649;;;Kanjira;;;;;2;;;
LEXICON_00005426;;;Kantamdabadaba;Kantadabadaba;;;;6;;;
LEXICON_00005507;;;Kao-kao;;;;;0;;;
LEXICON_00002650;;;Kelei;Kele;;;;1;;;
LEXICON_00005255;;;Kelmas;;;;;0;;;
LEXICON_00005256;;;Kenang;;;;LEXICON_00000108;1;;;
LEXICON_00002652;;;Kendang;;;;LEXICON_00005541;27;;;
LEXICON_00005258;;;Kete;;;;;3;;;
LEXICON_00005259;;;Ketipung;;;;LEXICON_00005541;6;;;
LEXICON_00005260;;;Khaijari;;;;LEXICON_00000116;1;;;
LEXICON_00002653;;;Khanjari;;;;;6;;;
LEXICON_00002654;;;Khol;;;;;5;;;
LEXICON_00002655;;;Kidi;;;;;1;;;
LEXICON_00002656;;;Kiringi;Kiringhie;;;LEXICON_00000035;1;;;
LEXICON_00006122;;;Klakacki;;;;LEXICON_00000032;1;;;
LEXICON_00002658;;;Kong;;;;;0;;;
LEXICON_00002659;;;Kon'go;Kon go;;;;0;;;
LEXICON_00002661;;;Kotsuzumi;"Toutsoumi;Tsuzumi";;;;6;;;
LEXICON_00005480;;;Kroboto;;;;;1;;;
LEXICON_00005481;;;Krobotzi;;;;;1;;;
LEXICON_00005272;;;Kulanter;;;;;0;;;
LEXICON_00004583;;;Kultrun;;;;LEXICON_00002183;1;;;
LEXICON_00005470;;;Kundu;;;;;26;;;
LEXICON_00005278;;;Kvakhica;;;;LEXICON_00002185;1;;;
LEXICON_00002664;;;Kwelli;;;;;0;;;
LEXICON_00002665;;;Kyobanggo;;;;;4;;;
LEXICON_00002666;;;Kyondo;Kyond;;;;0;;;
LEXICON_00006123;;;Laiyant;;;;LEXICON_00000112;1;;;
LEXICON_00005279;;;Lalakhi;;;;;0;;;
LEXICON_00006308;;;Lali;;;;LEXICON_00000020;1;;;
LEXICON_00005284;;;Libbit;;;;LEXICON_00002185;2;;;
LEXICON_00004584;;;Llamador;;;;LEXICON_00000102;2;;;
LEXICON_00004585;;;Lppumin;;;;LEXICON_00000116;2;;;
LEXICON_00002668;;;Luogu;Lo-kou;;;;1;;;
LEXICON_00004945;;;Madal;;;;;3;;;
LEXICON_00004878;;;Madar;;;;LEXICON_00002187;2;;;
LEXICON_00002670;;;Mazhar;;;;LEXICON_00000116;3;;;
LEXICON_00002671;;;Mbejn;;;;;3;;;
LEXICON_00005638;;;Mbonda;;;;;1;;;
LEXICON_00005291;;;Medium;;;;;3;;;
LEXICON_00005292;;;Mgba;;;;;10;;;
LEXICON_00002672;;;Milavu;;;;;0;;;
LEXICON_00004947;;;Mo;;;;;5;;;
LEXICON_00002673;;;Mokita;;;;LEXICON_00000103;3;;;
LEXICON_00005510;;;Mokko;;;;;11;;;
LEXICON_00002674;;;Mokugyo;Moktak ;;;;5;;;
LEXICON_00002675;;;Mokusho;;;;;0;;;
LEXICON_00002676;;;Mrdanga;Mridangam;;;;3;;;
LEXICON_00002678;;;Mukupiela;;;;LEXICON_00005564;6;;;
LEXICON_00002679;;;Muyu;"Min-yii;Mu-jü;Mu-yü";;;;13;;;
LEXICON_00002681;;;Nangara;;;;;0;;;
LEXICON_00005442;;;Naykhim;Naykhi;;;;2;;;
LEXICON_00002682;;;Ngoma;"Engoma;Goma;Ingoma;Ingomba";;;"LEXICON_00000096;LEXICON_00006431;LEXICON_00005574";10;;;
LEXICON_00006124;;;Ngoma za muheme;;;;LEXICON_00005559;1;;;
LEXICON_00002688;;;Nkoko;;;;LEXICON_00000035;11;;;
LEXICON_00002689;;;Nkumvi;;;;;0;;;
LEXICON_00005299;;;Nodo;;;;LEXICON_00000105;6;;;
LEXICON_00002690;;;Nogo;"Nodo;Noedo;Noego;To;Yongdo;Yonggo";;;;0;;;
LEXICON_00002697;;;Nonga;;;;LEXICON_00000112;1;;;
LEXICON_00004950;;;Ntenga;;;;;2;;;
LEXICON_00005300;;;Nyamalwa;;;;LEXICON_00000127;0;;;
LEXICON_00002698;;;Odaiko;Yaguradaiko;;;;2;;;
LEXICON_00002700;;;Otsuzumi;;;;;3;;;
LEXICON_00002701;;;O-zi;Ozi;;;;11;;;
LEXICON_00005307;;;Pachima;;;;;0;;;
LEXICON_00002703;;;Pakhavaj;;;;;4;;;
LEXICON_00002704;;;Pambai;Pamba;;;LEXICON_00000107;2;;;
LEXICON_00004884;;;Panaba;;;;LEXICON_00002185;2;;;
LEXICON_00002706;;;Pandeiro;;;;;0;;;
LEXICON_00004586;;;Pandereta;Panderete;;;LEXICON_00000116;1;;;
LEXICON_00006366;;;Pan-kou;;;;LEXICON_00000100;0;;;
LEXICON_00004685;;;Partrijzenlokker;;;;LEXICON_00000132;0;;;
LEXICON_00005309;;;Pat;;;;;7;;;
LEXICON_00005310;;;Pat mah;;;;;6;;;
LEXICON_00005311;;;Pat waing;;;;;50;;;
LEXICON_00005312;;;Pati;;;;;2;;;
LEXICON_00005318;;;Penten;;;;;1;;;
LEXICON_00005319;;;Perng mang khok;;;;;10;;;
LEXICON_00004686;;;Pignata;Pignato;;;LEXICON_00000129;2;;;
LEXICON_00004886;;;Pirai;Suryapirai;;;;2;;;
LEXICON_00006558;;;Plucked drum;;;;;0;;;
LEXICON_00002707;;;Puk;Buk;;;;2;;;
LEXICON_00002708;;;Pu-ti-pu;Putipu;;;;0;;;
LEXICON_00004904;;;Rabaga;Rabga;;;;1;;;
LEXICON_00002710;;;Rammana;Rumana;;;;2;;;
LEXICON_00006055;;;Rattle drum;;;;LEXICON_00000121;12;;;
LEXICON_00002712;;;Redap;Rebana;;;LEXICON_00000116;4;;;
LEXICON_00005336;;;Repinique;;;;LEXICON_00000115;2;;;
LEXICON_00002714;;;Riqq;"Rek;Rikk";;;LEXICON_00000116;14;;;
LEXICON_00002717;;;Rnga;;;;;2;;;
LEXICON_00004688;;;Rommelpot;Prospot;;;LEXICON_00000129;13;;;
LEXICON_00004690;;;Ronker;;;;LEXICON_00000134;9;;;
LEXICON_00006684;;;Roto-toms;;;;LEXICON_00000116;3;;;
LEXICON_00002718;;;Sabaro;Sabar;;;;0;;;
LEXICON_00002720;;;Sakara;;;;;0;;Yoruba;
LEXICON_00002721;;;Sakko;"Sakgo;Sakpi";;;;0;;;
LEXICON_00002724;;;Sambhor;Samphor;;;;0;;;
LEXICON_00005010;;;San-no-tsuzumi;;;;;1;;;
LEXICON_00002726;;;Sgar dham;Skor thom;;;;0;;;
LEXICON_00002728;;;Shagu;Heshangtou;;;LEXICON_00002185;7;;;
LEXICON_00005011;;;Shimedaiko;;;;;1;;;
LEXICON_00005013;;;Shugu;Shougu;;;;1;;;
LEXICON_00002729;;;Side drum;;;;LEXICON_00006434;24;;;
LEXICON_00002730;;;Slit drum;;;;;487;;;
LEXICON_00005361;;;Soge;;;;LEXICON_00000120;3;;;
LEXICON_00002732;;;Sogo;Maegubuk;;;;1;;;
LEXICON_00002734;;;String drum;"Tambour de Bearn;Tambour de Gascogne;Tambourin de Bearn";;;LEXICON_00000182;6;;;
LEXICON_00005362;;;Sulibao;;;;;1;;;
LEXICON_00005363;;;Surdo;;;;;6;;;
LEXICON_00002738;;;Tabl;"Dammam;Tabla";;;LEXICON_00000096;13;;;
LEXICON_00005493;;;Tabla tarang;;;;;0;;;
LEXICON_00005014;;;Tai ping gu;;;;;1;;;
LEXICON_00002741;;;Taiko;Daiko;;;;14;;;
LEXICON_00005368;;;Tajeraste;;;;LEXICON_00000105;0;;;
LEXICON_00002743;;;Tama;;;;LEXICON_00005562;8;;;
LEXICON_00005371;;;Tamale;;;;;2;;;
LEXICON_00005369;;;Tambor;;;;LEXICON_00000106;2;;;
LEXICON_00004588;;;Tambor mayor;;;;LEXICON_00002183;2;;;
LEXICON_00002744;;;Tambora;;;;LEXICON_00000105;3;;;
LEXICON_00004691;;;Tamboril;Tamborino;;;;4;;;
LEXICON_00005370;;;Tamborim;;;;;1;;;
LEXICON_00002745;;;Tambourin de Provence;Tambourin;;;;22;;French;
LEXICON_00002746;;;Tambourine;"Tambour basque;Tambour de basque;Tamburin";;;LEXICON_00000116;72;;;
LEXICON_00004693;;;Tamburino;Tamburello;;;"LEXICON_00000042;LEXICON_00000116";2;;;
LEXICON_00002750;;;Tamburu;Gowasa;;;;1;;;
LEXICON_00002752;;;Tamtam;"Tam-tam;Tubular drum";;;LEXICON_00000024;164;;;
LEXICON_00002756;;;Tanggu;"Tangu;Tonggu;Tungu";;;;10;;;
LEXICON_00002757;;;Taogu;"Tao gu;Tao kou";;;;2;;;
LEXICON_00002759;;;Tapan;;;;;6;;;
LEXICON_00005378;;;Tapattai;;;;LEXICON_00000116;0;;;
LEXICON_00005410;;;Taphon;;;;;0;;;
LEXICON_00005379;;;Tapon mon;;;;;2;;;
LEXICON_00002760;;;Tar;"Târ;Tar de Messamah";;;LEXICON_00000116;6;;;
LEXICON_00002762;;;Tarol;Tarole;;;LEXICON_00000114;2;;;
LEXICON_00002764;;;Tbel;Tbal;;;;0;;;
LEXICON_00002766;;;Tebashul;Tebashoul;;;LEXICON_00000106;2;;;
LEXICON_00002768;;;Temple block;;;;LEXICON_00000035;9;;;
LEXICON_00002769;;;Tenor drum;;;;LEXICON_00006434;1;;;
LEXICON_00005720;;;Tension drum;Screw-tensioned drum;;;;0;;;
LEXICON_00004589;;;Teponaztli;"Quiringa;Tepenahusqui;Teponagua;Teponahuaztli;Teponaxtle;Teponaztle;Tinco";;;LEXICON_00000035;7;;;
LEXICON_00002770;;;Terbang;Terebang;;;;8;;;
LEXICON_00005459;;;Thod dam;Thö dam;;;;5;;;
LEXICON_00004970;;;Thod-rnga;;;;;1;;;
LEXICON_00002772;;;Thon;"Thone;Thong";;;;2;;;
LEXICON_00006324;;;Tien-kou;;;;LEXICON_00005542;0;;;
LEXICON_00002775;;;Timila;Thimila;;;;0;;;
LEXICON_00004597;;;Tlalpanhuetlhuetl;"Atabal;Topanaztle";;;LEXICON_00000102;0;;;
LEXICON_00004971;;;Togo;;;;;1;;;
LEXICON_00002777;;;Tomba;Tombah;;;LEXICON_00005562;3;;;
LEXICON_00006540;;;Tom-tom;Tom tom;;;"LEXICON_00000103;LEXICON_00006432";6;;;
LEXICON_00006325;;;Trong;Cai trong;;;LEXICON_00005539;7;;;
LEXICON_00006326;;;Trong boc;Cai trong boc;;;LEXICON_00002185;1;;;
LEXICON_00006327;;;Trong cai;"Cai trong cai;Trong duc;Trong quan";;;LEXICON_00005542;1;;;
LEXICON_00002779;;;Trong chau;;;;;0;;;
LEXICON_00006328;;;Trong chien;Cai trong tien co;;;LEXICON_00005539;3;;;
LEXICON_00002780;;;Trong com;;;;;1;;;
LEXICON_00006329;;;Trong manh;Cai trong met;;;LEXICON_00000116;2;;;
LEXICON_00006330;;;Trong va;Cai trong va;;;LEXICON_00000116;2;;;
LEXICON_00002782;;;Tsuridaiko;Tsuri-daiko;;;;3;;;
LEXICON_00002783;;;Tumba;;;;;0;;;
LEXICON_00002784;;;Tumbadora;;;;;0;;;
LEXICON_00004695;;;Tümïr;;;;LEXICON_00000106;1;;;
LEXICON_00006331;;;Tunkul;;;;LEXICON_00000035;0;;;
LEXICON_00002785;;;Tuntui;Tunduy;;;;0;;;
LEXICON_00006332;;;Tuvung;;;;LEXICON_00000096;2;;;
LEXICON_00002787;;;Tyepondo-pinge;;;;LEXICON_00005539;1;;;
LEXICON_00002788;;;Uchiwadaiko;;;;;0;;;
LEXICON_00002789;;;Udukku;;;;;0;;;
LEXICON_00002790;;;Uganda drum;;;;LEXICON_00005574;0;;;
LEXICON_00005380;;;Ukom;;;;;11;;;
LEXICON_00002791;;;Unggo;Ungbi;;;;0;;;
LEXICON_00002793;;;Variable tension hourglass drum;;;;;0;;;
LEXICON_00005693;;;Vase-shaped drum;;;;LEXICON_00005579;96;;;
LEXICON_00004975;;;Waldteufel;;;;;2;;;
LEXICON_00002794;;;Wankara;Wankarita;;;LEXICON_00000116;2;;;
LEXICON_00005692;;;Water drum;;;;LEXICON_00000022;2;;;
LEXICON_00004698;;;Wawa;;;;LEXICON_00000134;2;;;
LEXICON_00006125;;;Woka;;;;LEXICON_00000112;1;;;
LEXICON_00002796;;;Yaogu;Jaogu;;;;5;;;
LEXICON_00002797;;;Yondo;;;;;0;;;
LEXICON_00002798;;;Yonggo;;;;;4;;;
LEXICON_00005381;;;Zambola;;;;LEXICON_00000126;0;;;
LEXICON_00004699;;;Zambomba;;;;LEXICON_00000129;5;;;
LEXICON_00005521;;;Zaogu;;;;;1;;;
LEXICON_00002799;;;Zarb;"Dombak;Dunbak;Tombak";;;LEXICON_00000112;3;;;
LEXICON_00002804;;;Zhangu;Biangu;;;;5;;;
LEXICON_00006365;;;Zirbaghali;;;;LEXICON_00000112;2;;;
LEXICON_00002805;;Gamelan;;;;;;0;;;
LEXICON_00002806;;;Gamelan;;;;;18;;;
LEXICON_00002807;;Gongs;;;;;LEXICON_00000023;0;;;
LEXICON_00002821;;;Ageng;"Agong;Agung;Egong";;;;21;;;
LEXICON_00004575;;;Ayotl;;;;LEXICON_00000024;1;;;
LEXICON_00005421;;;Babendil;Babendir;;;LEXICON_00000024;4;;;
LEXICON_00002808;;;Bonang;;;;LEXICON_00000026;13;;;
LEXICON_00006270;;;Bonang barung;;;;LEXICON_00000026;1;;;
LEXICON_00006271;;;Bonang panembung;;;;LEXICON_00000026;0;;;
LEXICON_00006272;;;Bonang panerus;;;;LEXICON_00000026;5;;;
LEXICON_00005502;;;Breng;;;;LEXICON_00000024;2;;;
LEXICON_00005512;;;Canang;Breng-breng;;;;1;;;
LEXICON_00002809;;;Canh;Cai canh;;;"LEXICON_00000017;LEXICON_00000024";3;;;
LEXICON_00006273;;;Ching;"Cái chiêng;Chieng;Daetyong;Jing";;;LEXICON_00000024;3;;;
LEXICON_00002811;;;Cong;Cai cong;;;;1;;;
LEXICON_00002813;;;Daluo;;;;;1;;;
LEXICON_00002814;;;Dan cong chien;;;;;2;;;
LEXICON_00002815;;;Dora;;;;;2;;;
LEXICON_00004995;;;Dscheng;;;;;0;;;
LEXICON_00005200;;;Emong;;;;LEXICON_00000023;0;;;
LEXICON_00005199;;;Engkuk;;;;LEXICON_00000023;0;;;
LEXICON_00002816;;;Gan dham;Kong thom;;;;0;;;
LEXICON_00002818;;;Gan tuc;Kong touch;;;;0;;;
LEXICON_00005209;;;Gangsa;;;;;15;;;
LEXICON_00005212;;;Gendingan;;;;LEXICON_00000024;4;;;
LEXICON_00002820;;;Gong;;;;LEXICON_00006201;313;;;
LEXICON_00005222;;;Goong;;;;;2;;;
LEXICON_00002825;;;Jengglong;;;;;8;;;
LEXICON_00005477;;;Jing;;;;;3;;;
LEXICON_00005478;;;Kajar;;;;;3;;;
LEXICON_00002826;;;Kasar;;;;;4;;;
LEXICON_00005251;;;Kelenang;;;;;4;;;
LEXICON_00005479;;;Kemong;;;;;4;;;
LEXICON_00002827;;;Kempul;;;;;21;;;
LEXICON_00005252;;;Kempur;;;;;5;;;
LEXICON_00005253;;;Kempyang;;;;;1;;;
LEXICON_00002828;;;Kenong;;;;;29;;;
LEXICON_00002829;;;Ketuk;;;;;8;;;
LEXICON_00002830;;;Khar-rnga;;;;;0;;;
LEXICON_00005409;;;Khawng;;;;LEXICON_00000026;0;;;
LEXICON_00005254;;;Khong;;;;;0;;;
LEXICON_00002831;;;Khong mong;Mowng;;;;3;;;
LEXICON_00002833;;;Kkwaenggwari;Khaenggari;;;;0;;;
LEXICON_00005274;;;Kulingtang;;;;LEXICON_00000023;0;;;
LEXICON_00002835;;;Kyi-waing;"Kye waing;Kyee wain;Kyi-wang";;;;44;;;
LEXICON_00002838;;;Luo;"Lo;Xiaolo;Xiaoluo";;;;24;;;
LEXICON_00005285;;;Malamala;;;;LEXICON_00000024;0;;;
LEXICON_00002842;;;Matsumushi;;;;;0;;;
LEXICON_00005290;;;Maung;;;;;3;;;
LEXICON_00005437;;;Maung-zaing;Maung saing;;;;8;;;
LEXICON_00002843;;;Nyo;;;;;1;;;
LEXICON_00005327;;;Pong;;;;LEXICON_00000026;2;;;
LEXICON_00002844;;;Shoko;Schoko;;;;2;;;
LEXICON_00002845;;;Soban;;;;;0;;;
LEXICON_00005490;;;Suwukan;;;;;1;;;
LEXICON_00002846;;;Talempong;"Calembong;Talempoang";;;;0;;;
LEXICON_00002849;;;Tam am la;Tam am;;;;2;;;
LEXICON_00004813;;;Tamtam;;;;LEXICON_00000002;0;;;
LEXICON_00006800;;;Tanggunggu;;;;LEXICON_00000026;1;;;
LEXICON_00005511;;;Tawak;;;;;0;;;
LEXICON_00002851;;;Thanh la;Cai thanh la;;;;1;;;
LEXICON_00005383;;;Trompong;;;;;0;;;
LEXICON_00002853;;;Waniguchi;;;;LEXICON_00000026;2;;;
LEXICON_00002854;;;Yaoling;Yao-ling-erh;;;LEXICON_00000026;4;;;
LEXICON_00002856;;;Yunluo;"Jün-lo;Ulla;Yun-lo";;;;1;;;
LEXICON_00002859;;;Zhengluo;Zhenggu;;;;1;;;
LEXICON_00002861;;Jew's harps;;Trumps;;;LEXICON_00000060;0;;;
LEXICON_00006793;;;Afiw;;;;LEXICON_00000061;1;;;
LEXICON_00005156;;;Bikong;;;;LEXICON_00000060;3;;;
LEXICON_00005170;;;Cheng;;;;LEXICON_00000063;5;;;
LEXICON_00002862;;;Dan moi;;;;;3;;;
LEXICON_00004746;;;Drimba;Drîmba;;;LEXICON_00000063;1;;;
LEXICON_00004747;;;Drymba;;;;LEXICON_00000063;2;;;
LEXICON_00002863;;;Genggong;;;;;5;;;
LEXICON_00002864;;;Jew's harp;"Scacciapensieri;Trump";;;LEXICON_00000060;333;;;
LEXICON_00004939;;;Karinding;;;;LEXICON_00000061;7;;;
LEXICON_00006794;;;Kinaban;;;;LEXICON_00000061;2;;;
LEXICON_00006306;;;Komuz;;;;LEXICON_00000063;2;;;
LEXICON_00004748;;;Kovïzh;;;;LEXICON_00000063;2;;;
LEXICON_00005265;;;Kubing;;;;;4;;;
LEXICON_00005271;;;Kuding;;;;LEXICON_00000061;7;;;
LEXICON_00004749;;;Marranzanu;;;;LEXICON_00000063;1;;;
LEXICON_00006675;;;Mukkuri;;;;LEXICON_00000061;0;;;
LEXICON_00002865;;;Murcang;"Morcang;Morchang;Murchang;Murchanga";;;LEXICON_00000063;10;;;
LEXICON_00006323;;;Susap;;;;LEXICON_00000061;5;;;
LEXICON_00006143;;;Tombagl;;;;LEXICON_00000060;1;;;
LEXICON_00002869;;;Tong;;;;;0;;;
LEXICON_00002870;;Jingles;;;;;;0;;;
LEXICON_00002871;;;Chimta;;;;;1;;;
LEXICON_00002872;;;Hit-hat mounted jingles;;;;LEXICON_00000043;0;;;
LEXICON_00002873;;;Jingle;;;;;56;;;
LEXICON_00004751;;;Lozhky;Lojki;;;LEXICON_00000046;4;;;
LEXICON_00002874;;;Nupur;;;;;3;;;
LEXICON_00002875;;;Suzu;"Sou-dzou;Sudsu";;;;2;;;
LEXICON_00002877;;;Turkish crescent;Bell tree;;;LEXICON_00005536;47;;;
LEXICON_00002879;;Kettledrums;;;;;LEXICON_00000097;0;;;
LEXICON_00002880;;;Baya;"Bam;Bayan";;;LEXICON_00000098;9;;;
LEXICON_00002882;;;Baz;Baaz;;;LEXICON_00000098;2;;;
LEXICON_00005408;;;Bülkül;;;;LEXICON_00000112;0;;;
LEXICON_00004853;;;Dagara;;;;LEXICON_00000098;1;;;
LEXICON_00002884;;;Damaha;;;;;0;;;
LEXICON_00004854;;;Damama;;;;LEXICON_00000098;7;;;
LEXICON_00002885;;;Damau;;;;;0;;;
LEXICON_00004929;;;Daya;;;;;1;;;
LEXICON_00004856;;;Dhanki;;;;;0;;;
LEXICON_00004858;;;Double kettledrum;;;;;0;;;
LEXICON_00004859;;;Duggi;;;;LEXICON_00000098;4;;;
LEXICON_00005223;;;Gosha naghara;;;;LEXICON_00000099;4;;;
LEXICON_00004870;;;Jharidap;;;;LEXICON_00000098;1;;;
LEXICON_00002886;;;Kara;;;;LEXICON_00000098;0;;;
LEXICON_00002887;;;Kettledrum;"Kettle drum;Timpano";;;"LEXICON_00000098;LEXICON_00006425;LEXICON_00006428;LEXICON_00006429";171;;;
LEXICON_00002890;;;Khurdak;Khoradak;;;;2;;;
LEXICON_00005277;;;Kvakhi;;;;LEXICON_00000098;1;;;
LEXICON_00002892;;;Nagara;;;;;16;;;
LEXICON_00002893;;;Nakers;;;;LEXICON_00006430;1;;;
LEXICON_00002894;;;Naqqara;"Naghara;Naghora;Nakkârah;Nakkare";;;LEXICON_00000099;9;;;
LEXICON_00005339;;;Sangad;;;;LEXICON_00000099;6;;;
LEXICON_00002899;;;Tabla;;;;LEXICON_00000098;16;;;
LEXICON_00002900;;;Tablak;;;;;2;;;
LEXICON_00002901;;;Tammatta;"Tammatai;Tammate";;;;1;;;
LEXICON_00005375;;;Tamva;Tunumukhu;;;LEXICON_00000098;0;;;
LEXICON_00002904;;;Tasa;Tasha;;;;8;;;
LEXICON_00002906;;;Tikara;;;;;2;;;
LEXICON_00002907;;;Tobol;"Tebloun;Tebol";;;LEXICON_00000098;1;;;
LEXICON_00002910;;;Tubilattes;Tobilets;;;LEXICON_00000099;6;;;
LEXICON_00004696;;;Tymbalon;Tymbalon de Provence;;;LEXICON_00000099;2;;;
LEXICON_00002912;;Lamellaphones;;Lamellophones;;;LEXICON_00000065;0;;;
LEXICON_00004839;;;Agbomboya;"Abanambwele;Abele;Abengu;Abongboya;Abongoia;Abongwa;Abongwea";;;;0;Lamellophone played by Bwa, Ngbele, Mbuja, Budeu & Makere peoples;;
LEXICON_00002913;;;Bantyu;Bant'you;;;LEXICON_00000066;2;;;
LEXICON_00006642;;;Claviola;;;;LEXICON_00006420;1;;;
LEXICON_00002915;;;Dikembe;;;;;0;;;
