Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00002894;http://www.mimo-db.eu/InstrumentsKeywords/2894;;;;Naqqara;"Naghara;Naghora;Nakkârah;Nakkare";http://en.wikipedia.org/wiki/Naqareh;A vérifier
LEXICON_00002899;http://www.mimo-db.eu/InstrumentsKeywords/2899;;;;Tabla;;http://en.wikipedia.org/wiki/Tabla;
LEXICON_00002900;http://www.mimo-db.eu/InstrumentsKeywords/2900;;;;Tablak;;;
LEXICON_00002901;http://www.mimo-db.eu/InstrumentsKeywords/2901;;;;Tammatta;"Tammatai;Tammate";;
LEXICON_00002904;http://www.mimo-db.eu/InstrumentsKeywords/2904;;;;Tasa;Tasha;;
LEXICON_00002906;http://www.mimo-db.eu/InstrumentsKeywords/2906;;;;Tikara;;;
LEXICON_00002907;http://www.mimo-db.eu/InstrumentsKeywords/2907;;;;Tobol;"Tebloun;Tebol";;
LEXICON_00002910;http://www.mimo-db.eu/InstrumentsKeywords/2910;;;;Tubilattes;Tobilets;;
LEXICON_00004696;http://www.mimo-db.eu/InstrumentsKeywords/4696;;;;Tymbalon;Tymbalon de Provence;;
LEXICON_00004853;http://www.mimo-db.eu/InstrumentsKeywords/4853;;;;Dagara;;;
LEXICON_00004854;http://www.mimo-db.eu/InstrumentsKeywords/4854;;;;Damama;;;
LEXICON_00004856;http://www.mimo-db.eu/InstrumentsKeywords/4856;;;;Dhanki;;;
LEXICON_00004858;http://www.mimo-db.eu/InstrumentsKeywords/4858;;;;Double kettledrum;;;
LEXICON_00004859;http://www.mimo-db.eu/InstrumentsKeywords/4859;;;;Duggi;;http://en.wikipedia.org/wiki/Duggi_(drum);
LEXICON_00004870;http://www.mimo-db.eu/InstrumentsKeywords/4870;;;;Jharidap;;;
LEXICON_00004929;http://www.mimo-db.eu/InstrumentsKeywords/4929;;;;Daya;;;
LEXICON_00005223;http://www.mimo-db.eu/InstrumentsKeywords/5223;;;;Gosha naghara;;;
LEXICON_00005277;http://www.mimo-db.eu/InstrumentsKeywords/5277;;;;Kvakhi;;;
LEXICON_00005339;http://www.mimo-db.eu/InstrumentsKeywords/5339;;;;Sangad;;;
LEXICON_00005375;http://www.mimo-db.eu/InstrumentsKeywords/5375;;;;Tamva;Tunumukhu;;
LEXICON_00005408;http://www.mimo-db.eu/InstrumentsKeywords/5408;;;;Bülkül;;;
LEXICON_00002912;http://www.mimo-db.eu/InstrumentsKeywords/2912;;;Lamellaphones;;Lamellophones;http://en.wikipedia.org/wiki/Lamellaphones;
LEXICON_00002913;http://www.mimo-db.eu/InstrumentsKeywords/2913;;;;Bantyu;Bant'you;;
LEXICON_00002915;http://www.mimo-db.eu/InstrumentsKeywords/2915;;;;Dikembe;;;
LEXICON_00002916;http://www.mimo-db.eu/InstrumentsKeywords/2916;;;;Ikembe;Ikimbe;http://en.wikipedia.org/wiki/Ikembe;
LEXICON_00002918;http://www.mimo-db.eu/InstrumentsKeywords/2918;;;;Ilimba;;http://en.wikipedia.org/wiki/Ilimba;
LEXICON_00002919;http://www.mimo-db.eu/InstrumentsKeywords/2919;;;;Insimbi;;;
LEXICON_00002920;http://www.mimo-db.eu/InstrumentsKeywords/2920;;;;Kadimba;;;
LEXICON_00002921;http://www.mimo-db.eu/InstrumentsKeywords/2921;;;;Kakolondondo;Kisansi;;
LEXICON_00002923;http://www.mimo-db.eu/InstrumentsKeywords/2923;;;;Kalimba;Karimba;http://en.wikipedia.org/wiki/Kalimba;A vérifier
LEXICON_00002925;http://www.mimo-db.eu/InstrumentsKeywords/2925;;;;Kankobela;Kankobele;;
LEXICON_00002927;http://www.mimo-db.eu/InstrumentsKeywords/2927;;;;Kisaanj;Kisanzi;;
LEXICON_00002929;http://www.mimo-db.eu/InstrumentsKeywords/2929;;;;Kyanya;;;
LEXICON_00002930;http://www.mimo-db.eu/InstrumentsKeywords/2930;;;;Lamellaphone;Lamellophone ;http://en.wikipedia.org/wiki/Lamellaphone;
LEXICON_00002933;http://www.mimo-db.eu/InstrumentsKeywords/2933;;;;Likembe;Zanza;http://en.wikipedia.org/wiki/Likembe;A vérifier
LEXICON_00002935;http://www.mimo-db.eu/InstrumentsKeywords/2935;;;;Madaku;;;
LEXICON_00002936;http://www.mimo-db.eu/InstrumentsKeywords/2936;;;;Madiumba;;;
LEXICON_00002937;http://www.mimo-db.eu/InstrumentsKeywords/2937;;;;Marimba;;http://en.wikipedia.org/wiki/Marimba;
LEXICON_00002938;http://www.mimo-db.eu/InstrumentsKeywords/2938;;;;Marimbula;;http://en.wikipedia.org/wiki/Marimbula;
LEXICON_00002939;http://www.mimo-db.eu/InstrumentsKeywords/2939;;;;Mbira;;http://en.wikipedia.org/wiki/Mbira;
LEXICON_00002940;http://www.mimo-db.eu/InstrumentsKeywords/2940;;;;Modeku;;;
LEXICON_00002941;http://www.mimo-db.eu/InstrumentsKeywords/2941;;;;Myonga;;;
LEXICON_00002942;http://www.mimo-db.eu/InstrumentsKeywords/2942;;;;Sanza;"Sandza;Sansa";;
LEXICON_00002945;http://www.mimo-db.eu/InstrumentsKeywords/2945;;;;Timbrh;"Timbr;Tmbr";;
LEXICON_00002948;http://www.mimo-db.eu/InstrumentsKeywords/2948;;;;Tsimbi;;;
LEXICON_00004839;http://www.mimo-db.eu/InstrumentsKeywords/4839;;;;Agbomboya;"Abanambwele;Abele;Abengu;Abongboya;Abongoia;Abongwa;Abongwea";;
LEXICON_00005264;http://www.mimo-db.eu/InstrumentsKeywords/5264;;;;Kondi;;;
LEXICON_00005418;http://www.mimo-db.eu/InstrumentsKeywords/5418;;;;Setinkane;;;
LEXICON_00006642;http://www.mimo-db.eu/InstrumentsKeywords/6642;;;;Claviola;;http://en.wikipedia.org/wiki/Claviola;
LEXICON_00002949;http://www.mimo-db.eu/InstrumentsKeywords/2949;;;Lithophones;;;http://en.wikipedia.org/wiki/Lithophones;
LEXICON_00002950;http://www.mimo-db.eu/InstrumentsKeywords/2950;;;;Bianqing;"Piänking;Pien ch'ing;Pien-ch'ing;Shibianqing";http://en.wikipedia.org/wiki/Bianqing;
LEXICON_00002952;http://www.mimo-db.eu/InstrumentsKeywords/2952;;;;Lithophone;Lithophon;http://en.wikipedia.org/wiki/Lithophones;
LEXICON_00002955;http://www.mimo-db.eu/InstrumentsKeywords/2955;;;;P'yon'gyong;"Pyon gyong;Pyongyong";http://en.wikipedia.org/wiki/Pyeongyeong;A vérifier
LEXICON_00002958;http://www.mimo-db.eu/InstrumentsKeywords/2958;;;;Qing;"Ch'ing;Schi-king;Te ch'ing;Teqing;Tse-king";;
LEXICON_00002963;http://www.mimo-db.eu/InstrumentsKeywords/2963;;;;T'ukkyong;Tukgyong;;
LEXICON_00002965;http://www.mimo-db.eu/InstrumentsKeywords/2965;;;Metallophones ;;;http://en.wikipedia.org/wiki/Metallophones;
LEXICON_00002966;http://www.mimo-db.eu/InstrumentsKeywords/2966;;;;Chime bar;;http://en.wikipedia.org/wiki/Chime_bar;
LEXICON_00002967;http://www.mimo-db.eu/InstrumentsKeywords/2967;;;;Glass glockenspiel;;;
LEXICON_00002968;http://www.mimo-db.eu/InstrumentsKeywords/2968;;;;Glockenspiel;;http://en.wikipedia.org/wiki/Glockenspiel;
LEXICON_00002969;http://www.mimo-db.eu/InstrumentsKeywords/2969;;;;Kane;;http://en.wikipedia.org/wiki/Kane_(instrument);A vérifier
LEXICON_00002970;http://www.mimo-db.eu/InstrumentsKeywords/2970;;;;Lyra glockenspiel;;;
LEXICON_00002971;http://www.mimo-db.eu/InstrumentsKeywords/2971;;;;Metallophone;;http://en.wikipedia.org/wiki/Metallophone;
LEXICON_00002972;http://www.mimo-db.eu/InstrumentsKeywords/2972;;;;Panghyang;;;
LEXICON_00002973;http://www.mimo-db.eu/InstrumentsKeywords/2973;;;;Saron barung;;http://en.wikipedia.org/wiki/Saron_barung;A vérifier (même page Saron)
LEXICON_00002974;http://www.mimo-db.eu/InstrumentsKeywords/2974;;;;Saron demung;;http://en.wikipedia.org/wiki/Saron_demung;A vérifier (même page Saron)
LEXICON_00002975;http://www.mimo-db.eu/InstrumentsKeywords/2975;;;;Saron panerus;Panerus;http://en.wikipedia.org/wiki/Saron_panerus;A vérifier (même page Saron)
LEXICON_00002976;http://www.mimo-db.eu/InstrumentsKeywords/2976;;;;Slentem;;http://en.wikipedia.org/wiki/Slentem;
LEXICON_00002977;http://www.mimo-db.eu/InstrumentsKeywords/2977;;;;Slento;;http://en.wikipedia.org/wiki/Slento;
LEXICON_00002978;http://www.mimo-db.eu/InstrumentsKeywords/2978;;;;Steel drum;"Pan;Steel pan;Steeldrum;Tenorpan";http://en.wikipedia.org/wiki/Steel_drum;
LEXICON_00002983;http://www.mimo-db.eu/InstrumentsKeywords/2983;;;;Thali;;;
LEXICON_00002984;http://www.mimo-db.eu/InstrumentsKeywords/2984;;;;Tubaphone;;http://en.wikipedia.org/wiki/Tubaphone;
LEXICON_00002985;http://www.mimo-db.eu/InstrumentsKeywords/2985;;;;Vibraphone;;http://en.wikipedia.org/wiki/Vibraphone;
LEXICON_00004544;http://www.mimo-db.eu/InstrumentsKeywords/4544;;;;Anvil;;http://en.wikipedia.org/wiki/Anvil#Musical_instruments;A vérifier
LEXICON_00004906;http://www.mimo-db.eu/InstrumentsKeywords/4906;;;;Gender;;http://en.wikipedia.org/wiki/Gender_(instrument);
LEXICON_00005240;http://www.mimo-db.eu/InstrumentsKeywords/5240;;;;Jegogan;;;
LEXICON_00005247;http://www.mimo-db.eu/InstrumentsKeywords/5247;;;;Kantilan;;;
LEXICON_00005248;http://www.mimo-db.eu/InstrumentsKeywords/5248;;;;Kenyir;;;
LEXICON_00005316;http://www.mimo-db.eu/InstrumentsKeywords/5316;;;;Penyacah;;;
LEXICON_00005345;http://www.mimo-db.eu/InstrumentsKeywords/5345;;;;Saron;;;
LEXICON_00005346;http://www.mimo-db.eu/InstrumentsKeywords/5346;;;;Saron peking;;;
LEXICON_00005347;http://www.mimo-db.eu/InstrumentsKeywords/5347;;;;Saron ricik;;;
LEXICON_00005348;http://www.mimo-db.eu/InstrumentsKeywords/5348;;;;Saron slentem;;;
LEXICON_00005766;http://www.mimo-db.eu/InstrumentsKeywords/5766;;;;Celesta;;http://en.wikipedia.org/wiki/Celesta;
LEXICON_00006660;http://www.mimo-db.eu/InstrumentsKeywords/6660;;;;Harpeal;;;
LEXICON_00006677;http://www.mimo-db.eu/InstrumentsKeywords/6677;;;;Ocleal;;;
LEXICON_00006680;http://www.mimo-db.eu/InstrumentsKeywords/6680;;;;Orpheal;;http://en.wikipedia.org/wiki/Orpheal;
LEXICON_00002988;http://www.mimo-db.eu/InstrumentsKeywords/2988;;;Others;;;;
LEXICON_00002809;http://www.mimo-db.eu/InstrumentsKeywords/2809;;;;Canh;Cai canh;http://en.wikipedia.org/wiki/C%E1%BA%A3nh;
LEXICON_00002837;http://www.mimo-db.eu/InstrumentsKeywords/2837;;;;Kyi-zi;;;
LEXICON_00002989;http://www.mimo-db.eu/InstrumentsKeywords/2989;;;;Claves;;http://en.wikipedia.org/wiki/Claves;
LEXICON_00002990;http://www.mimo-db.eu/InstrumentsKeywords/2990;;;;Flexatone;;http://en.wikipedia.org/wiki/Flexatone;
LEXICON_00002991;http://www.mimo-db.eu/InstrumentsKeywords/2991;;;;Percussion stick;;;
LEXICON_00002993;http://www.mimo-db.eu/InstrumentsKeywords/2993;;;;Percussion tube;;;
LEXICON_00002995;http://www.mimo-db.eu/InstrumentsKeywords/2995;;;;Pi phat;Piphat;http://en.wikipedia.org/wiki/Pi_phat;
LEXICON_00002997;http://www.mimo-db.eu/InstrumentsKeywords/2997;;;;Pinpeat;;http://en.wikipedia.org/wiki/Pinpeat;
LEXICON_00002998;http://www.mimo-db.eu/InstrumentsKeywords/2998;;;;Rain machine;;;
LEXICON_00002999;http://www.mimo-db.eu/InstrumentsKeywords/2999;;;;Semantron;"Semandron;Simandron";http://en.wikipedia.org/wiki/Semantron;
LEXICON_00003003;http://www.mimo-db.eu/InstrumentsKeywords/3003;;;;Shantu;;;
LEXICON_00003004;http://www.mimo-db.eu/InstrumentsKeywords/3004;;;;Tavoletta;;;
LEXICON_00003005;http://www.mimo-db.eu/InstrumentsKeywords/3005;;;;Triangle;;http://en.wikipedia.org/wiki/Triangle_(instrument);
LEXICON_00003006;http://www.mimo-db.eu/InstrumentsKeywords/3006;;;;Txalaparta;;http://en.wikipedia.org/wiki/Txalaparta;
LEXICON_00003007;http://www.mimo-db.eu/InstrumentsKeywords/3007;;;;Wind machine;;http://en.wikipedia.org/wiki/Wind_machine;
LEXICON_00003008;http://www.mimo-db.eu/InstrumentsKeywords/3008;;;;Zhu;"Chu;Tschu";http://en.wikipedia.org/wiki/Zhu_(percussion_instrument);
LEXICON_00004834;http://www.mimo-db.eu/InstrumentsKeywords/4834;;;;Distinette;;;
LEXICON_00004835;http://www.mimo-db.eu/InstrumentsKeywords/4835;;;;Hammer;;;
LEXICON_00004836;http://www.mimo-db.eu/InstrumentsKeywords/4836;;;;Plucked idiophone;;http://en.wikipedia.org/wiki/Plucked_idiophone;
LEXICON_00004863;http://www.mimo-db.eu/InstrumentsKeywords/4863;;;;Ghari;;;
LEXICON_00004876;http://www.mimo-db.eu/InstrumentsKeywords/4876;;;;Kashtha tarang;;;
LEXICON_00004926;http://www.mimo-db.eu/InstrumentsKeywords/4926;;;;Cricri;;;
LEXICON_00004960;http://www.mimo-db.eu/InstrumentsKeywords/4960;;;;Quitiplas;;;
LEXICON_00004972;http://www.mimo-db.eu/InstrumentsKeywords/4972;;;;Toa;;;
LEXICON_00005149;http://www.mimo-db.eu/InstrumentsKeywords/5149;;;;Balingbing;;;
LEXICON_00005150;http://www.mimo-db.eu/InstrumentsKeywords/5150;;;;Bangibang;;;
LEXICON_00005152;http://www.mimo-db.eu/InstrumentsKeywords/5152;;;;Bantula;;http://en.wikipedia.org/wiki/Bantula;A vérifier
LEXICON_00005226;http://www.mimo-db.eu/InstrumentsKeywords/5226;;;;Gumanak;;;
LEXICON_00005230;http://www.mimo-db.eu/InstrumentsKeywords/5230;;;;Hsaing-waing;;http://en.wikipedia.org/wiki/Hsaing_waing;
LEXICON_00005250;http://www.mimo-db.eu/InstrumentsKeywords/5250;;;;Kasuk;;;
LEXICON_00005297;http://www.mimo-db.eu/InstrumentsKeywords/5297;;;;Mugu;;;
LEXICON_00005298;http://www.mimo-db.eu/InstrumentsKeywords/5298;;;;Ndingo;;;
LEXICON_00005315;http://www.mimo-db.eu/InstrumentsKeywords/5315;;;;Pattung;;;
LEXICON_00005385;http://www.mimo-db.eu/InstrumentsKeywords/5385;;;;Tintinca;;;
LEXICON_00005472;http://www.mimo-db.eu/InstrumentsKeywords/5472;;;;Bukhsa;Bursa;;
LEXICON_00005505;http://www.mimo-db.eu/InstrumentsKeywords/5505;;;;Selokkat;;;
LEXICON_00005649;http://www.mimo-db.eu/InstrumentsKeywords/5649;;;;Musical waterpot;;;
LEXICON_00005659;http://www.mimo-db.eu/InstrumentsKeywords/5659;;;;Percussion plaque;;;
LEXICON_00005853;http://www.mimo-db.eu/InstrumentsKeywords/5853;;;;Percussion vessel;;;
LEXICON_00006282;http://www.mimo-db.eu/InstrumentsKeywords/6282;;;;Duri dana;"da'uli-da'uli;Druri dana;Duri";;
LEXICON_00006309;http://www.mimo-db.eu/InstrumentsKeywords/6309;;;;Launut;;;
LEXICON_00006623;http://www.mimo-db.eu/InstrumentsKeywords/6623;;;;Electronic percussion;;http://en.wikipedia.org/wiki/Electronic_percussion;A vérifier
LEXICON_00006686;http://www.mimo-db.eu/InstrumentsKeywords/6686;;;;Struck idiophone;;;
LEXICON_00006784;http://www.mimo-db.eu/InstrumentsKeywords/6784;;;;Ch'uk;Chuc;http://en.wikipedia.org/wiki/Chuk_(instrument);A vérifier
LEXICON_00003010;http://www.mimo-db.eu/InstrumentsKeywords/3010;;;Ratchets;;;;
LEXICON_00003011;http://www.mimo-db.eu/InstrumentsKeywords/3011;;;;Ratchet;;;
LEXICON_00003012;http://www.mimo-db.eu/InstrumentsKeywords/3012;;;Rattles;;;http://en.wikipedia.org/wiki/Rattle_(percussion_instrument);A vérifier
LEXICON_00002411;http://www.mimo-db.eu/InstrumentsKeywords/2411;;;;Nzoro;Nzolo;;
LEXICON_00003013;http://www.mimo-db.eu/InstrumentsKeywords/3013;;;;Angklung;;http://en.wikipedia.org/wiki/Angklung;
LEXICON_00003014;http://www.mimo-db.eu/InstrumentsKeywords/3014;;;;Anzona;;;
LEXICON_00003015;http://www.mimo-db.eu/InstrumentsKeywords/3015;;;;Assa muta chati;Assa mouta chatih;;
LEXICON_00003017;http://www.mimo-db.eu/InstrumentsKeywords/3017;;;;Atamo;Atâmo;;
LEXICON_00003019;http://www.mimo-db.eu/InstrumentsKeywords/3019;;;;Azibwazi;Azibwasi;;
LEXICON_00003020;http://www.mimo-db.eu/InstrumentsKeywords/3020;;;;Dibu dimbwa;;;
LEXICON_00003021;http://www.mimo-db.eu/InstrumentsKeywords/3021;;;;Ga;;;
LEXICON_00003022;http://www.mimo-db.eu/InstrumentsKeywords/3022;;;;Ifambu;;;
LEXICON_00003023;http://www.mimo-db.eu/InstrumentsKeywords/3023;;;;Kauaha;Quijada;http://en.wikipedia.org/wiki/Quijada;A vérifier
LEXICON_00003025;http://www.mimo-db.eu/InstrumentsKeywords/3025;;;;Kayambi;"Caiambe;Kaiamb;Kayambe;Kayann";;
LEXICON_00003030;http://www.mimo-db.eu/InstrumentsKeywords/3030;;;;Legwegwe;;;
LEXICON_00003031;http://www.mimo-db.eu/InstrumentsKeywords/3031;;;;Maracas;;http://en.wikipedia.org/wiki/Maracas;
LEXICON_00003032;http://www.mimo-db.eu/InstrumentsKeywords/3032;;;;Maruga;;;
LEXICON_00003033;http://www.mimo-db.eu/InstrumentsKeywords/3033;;;;Muswai;;;
LEXICON_00003034;http://www.mimo-db.eu/InstrumentsKeywords/3034;;;;Qachel;Qâkel;;
LEXICON_00003036;http://www.mimo-db.eu/InstrumentsKeywords/3036;;;;Rattle;;http://en.wikipedia.org/wiki/Rattle_(percussion_beater);A vérifier
LEXICON_00003037;http://www.mimo-db.eu/InstrumentsKeywords/3037;;;;Sanasel;;;
LEXICON_00003038;http://www.mimo-db.eu/InstrumentsKeywords/3038;;;;Sekere;"Chekere;Shekere";http://en.wikipedia.org/wiki/Sekere;
LEXICON_00003041;http://www.mimo-db.eu/InstrumentsKeywords/3041;;;;Sesheh;;;
LEXICON_00003042;http://www.mimo-db.eu/InstrumentsKeywords/3042;;;;Sistrum;;http://en.wikipedia.org/wiki/Sistrum;
LEXICON_00003043;http://www.mimo-db.eu/InstrumentsKeywords/3043;;;;Swanga;Nkwanga;;
LEXICON_00003045;http://www.mimo-db.eu/InstrumentsKeywords/3045;;;;Taga;;;
LEXICON_00003046;http://www.mimo-db.eu/InstrumentsKeywords/3046;;;;Wasamba;;;
LEXICON_00004580;http://www.mimo-db.eu/InstrumentsKeywords/4580;;;;Cascabel;;;
LEXICON_00004620;http://www.mimo-db.eu/InstrumentsKeywords/4620;;;;Gurra;;;
LEXICON_00004621;http://www.mimo-db.eu/InstrumentsKeywords/4621;;;;Kanyahte'ka'nowa;Turtle-shell rattle;;
LEXICON_00004623;http://www.mimo-db.eu/InstrumentsKeywords/4623;;;;Katana;;;
LEXICON_00004624;http://www.mimo-db.eu/InstrumentsKeywords/4624;;;;Sonaja;Quiaquia;;
LEXICON_00004626;http://www.mimo-db.eu/InstrumentsKeywords/4626;;;;Wada;;;
LEXICON_00004772;http://www.mimo-db.eu/InstrumentsKeywords/4772;;;;Bordon as ones;Bordon as onès;;
LEXICON_00004871;http://www.mimo-db.eu/InstrumentsKeywords/4871;;;;Jhinka;;;
LEXICON_00004877;http://www.mimo-db.eu/InstrumentsKeywords/4877;;;;Lezim;;;
LEXICON_00004921;http://www.mimo-db.eu/InstrumentsKeywords/4921;;;;Ch'ajch'as;;http://en.wikipedia.org/wiki/Chajchas;A vérifier
LEXICON_00004922;http://www.mimo-db.eu/InstrumentsKeywords/4922;;;;Chocalho;;http://en.wikipedia.org/wiki/Chocalho;
LEXICON_00004973;http://www.mimo-db.eu/InstrumentsKeywords/4973;;;;Towa;;;
LEXICON_00004974;http://www.mimo-db.eu/InstrumentsKeywords/4974;;;;Vibra-slap;;http://en.wikipedia.org/wiki/Vibra-slap;
LEXICON_00005009;http://www.mimo-db.eu/InstrumentsKeywords/5009;;;;Shakujo;;;
LEXICON_00005147;http://www.mimo-db.eu/InstrumentsKeywords/5147;;;;Axatse;;;
LEXICON_00005167;http://www.mimo-db.eu/InstrumentsKeywords/5167;;;;Caxixi;;http://en.wikipedia.org/wiki/Caxixi;
LEXICON_00005210;http://www.mimo-db.eu/InstrumentsKeywords/5210;;;;Ganza;;http://en.wikipedia.org/wiki/Ganza;
LEXICON_00005249;http://www.mimo-db.eu/InstrumentsKeywords/5249;;;;Karatali;;;
LEXICON_00005449;http://www.mimo-db.eu/InstrumentsKeywords/5449;;;;Segbureh;"Segbura;Shengureh";;
LEXICON_00005520;http://www.mimo-db.eu/InstrumentsKeywords/5520;;;;Gulung-gulung;;;
LEXICON_00005688;http://www.mimo-db.eu/InstrumentsKeywords/5688;;;;Ankle rattle;;;
LEXICON_00005689;http://www.mimo-db.eu/InstrumentsKeywords/5689;;;;Raft rattle;;;
LEXICON_00005848;http://www.mimo-db.eu/InstrumentsKeywords/5848;;;;Andzolo;;;
LEXICON_00005877;http://www.mimo-db.eu/InstrumentsKeywords/5877;;;;Lengwow;;;
LEXICON_00006037;http://www.mimo-db.eu/InstrumentsKeywords/6037;;;;Kartal;;http://en.wikipedia.org/wiki/Khartal;A vérifier
LEXICON_00006142;http://www.mimo-db.eu/InstrumentsKeywords/6142;;;;Rangle;;;
LEXICON_00006266;http://www.mimo-db.eu/InstrumentsKeywords/6266;;;;Arbu;;;
LEXICON_00006281;http://www.mimo-db.eu/InstrumentsKeywords/6281;;;;Cimta;;;
LEXICON_00006307;http://www.mimo-db.eu/InstrumentsKeywords/6307;;;;Kulu;;;
LEXICON_00006321;http://www.mimo-db.eu/InstrumentsKeywords/6321;;;;Rin-no-tama;;;
LEXICON_00006634;http://www.mimo-db.eu/InstrumentsKeywords/6634;;;;Cabaca;;;
LEXICON_00006676;http://www.mimo-db.eu/InstrumentsKeywords/6676;;;;Nhac;;;
LEXICON_00006695;http://www.mimo-db.eu/InstrumentsKeywords/6695;;;;Vessel rattle;;http://en.wikipedia.org/wiki/Vessel_rattle;
LEXICON_00006798;http://www.mimo-db.eu/InstrumentsKeywords/6798;;;;Stick rattle;;;
LEXICON_00006827;http://www.mimo-db.eu/InstrumentsKeywords/6827;;;;Rainstick;;http://en.wikipedia.org/wiki/Rainstick;
LEXICON_00003047;http://www.mimo-db.eu/InstrumentsKeywords/3047;;;Scrapers;;;;
LEXICON_00003048;http://www.mimo-db.eu/InstrumentsKeywords/3048;;;;Dikwakasa;Dikwasa;;
LEXICON_00003050;http://www.mimo-db.eu/InstrumentsKeywords/3050;;;;Guachara;Guacharaca;http://en.wikipedia.org/wiki/Guacharaca;
LEXICON_00003052;http://www.mimo-db.eu/InstrumentsKeywords/3052;;;;Guiro;Guayo;http://en.wikipedia.org/wiki/G%C3%BCiro;
LEXICON_00003054;http://www.mimo-db.eu/InstrumentsKeywords/3054;;;;Kenyen;;;
LEXICON_00003055;http://www.mimo-db.eu/InstrumentsKeywords/3055;;;;Pandola;;;
LEXICON_00003056;http://www.mimo-db.eu/InstrumentsKeywords/3056;;;;Scraped stick;;;
LEXICON_00003057;http://www.mimo-db.eu/InstrumentsKeywords/3057;;;;Scraped vessel;;;
LEXICON_00003058;http://www.mimo-db.eu/InstrumentsKeywords/3058;;;;Scraper;;http://en.wikipedia.org/wiki/Scraper_(instrument);A vérifier (voir Guiro)
LEXICON_00003060;http://www.mimo-db.eu/InstrumentsKeywords/3060;;;;Washboard;;;
LEXICON_00003061;http://www.mimo-db.eu/InstrumentsKeywords/3061;;;;Yu;Jü;;
LEXICON_00004627;http://www.mimo-db.eu/InstrumentsKeywords/4627;;;;Omichicahuaztli;;;
LEXICON_00004773;http://www.mimo-db.eu/InstrumentsKeywords/4773;;;;Reque reque;;;
LEXICON_00005218;http://www.mimo-db.eu/InstrumentsKeywords/5218;;;;Ghol;;;
LEXICON_00005332;http://www.mimo-db.eu/InstrumentsKeywords/5332;;;;Reco-reco;Recoreco;http://en.wikipedia.org/wiki/Reco-reco;
LEXICON_00005504;http://www.mimo-db.eu/InstrumentsKeywords/5504;;;;Slentem;;http://en.wikipedia.org/wiki/Slentem;A vérifier
LEXICON_00006702;http://www.mimo-db.eu/InstrumentsKeywords/6702;;;;Scraped idiophone;;;
LEXICON_00006703;http://www.mimo-db.eu/InstrumentsKeywords/6703;;;;Scraped tube;;;
LEXICON_00006799;http://www.mimo-db.eu/InstrumentsKeywords/6799;;;;Tagutok;;http://en.wikipedia.org/wiki/Tagutok;A vérifier
LEXICON_00006819;http://www.mimo-db.eu/InstrumentsKeywords/6819;;;;Ferrinho;;http://en.wikipedia.org/wiki/Ferrinho;
LEXICON_00003062;http://www.mimo-db.eu/InstrumentsKeywords/3062;;;Xylophones;;;http://en.wikipedia.org/wiki/Xylophones;
LEXICON_00003063;http://www.mimo-db.eu/InstrumentsKeywords/3063;;;;Balafon;"Bala;Balafo;Balafou";http://en.wikipedia.org/wiki/Balafon;
LEXICON_00003067;http://www.mimo-db.eu/InstrumentsKeywords/3067;;;;Bolange;"Balangi;Balangie;Balangy";;
LEXICON_00003070;http://www.mimo-db.eu/InstrumentsKeywords/3070;;;;Claquebois;;;
LEXICON_00003071;http://www.mimo-db.eu/InstrumentsKeywords/3071;;;;Dan krong-put;;;
LEXICON_00003072;http://www.mimo-db.eu/InstrumentsKeywords/3072;;;;Dan t'rung;;;
LEXICON_00003073;http://www.mimo-db.eu/InstrumentsKeywords/3073;;;;Gambang;;http://en.wikipedia.org/wiki/Gambang;
LEXICON_00003075;http://www.mimo-db.eu/InstrumentsKeywords/3075;;;;Kilangay;;;
LEXICON_00003076;http://www.mimo-db.eu/InstrumentsKeywords/3076;;;;Madimba;Madinda;;
LEXICON_00003078;http://www.mimo-db.eu/InstrumentsKeywords/3078;;;;Manza;Manza dongere;;
LEXICON_00003079;http://www.mimo-db.eu/InstrumentsKeywords/3079;;;;Marimba;;http://en.wikipedia.org/wiki/Marimba;
LEXICON_00003080;http://www.mimo-db.eu/InstrumentsKeywords/3080;;;;Mbila;Timbila;http://en.wikipedia.org/wiki/Mbila;A vérifier
LEXICON_00003082;http://www.mimo-db.eu/InstrumentsKeywords/3082;;;;Mendzan;"Medzang;Mendjan;Mendzang;Menjyang";;
LEXICON_00003087;http://www.mimo-db.eu/InstrumentsKeywords/3087;;;;Mokkin;;;
LEXICON_00003088;http://www.mimo-db.eu/InstrumentsKeywords/3088;;;;Ranat;"Ranat ayk;Ranat ek;Ranat lek;Ranat thum;Roneat";http://en.wikipedia.org/wiki/Ranat;
LEXICON_00003092;http://www.mimo-db.eu/InstrumentsKeywords/3092;;;;Valimba;"Bachi;Madudu;Mambira;Ngambi;Ulimba;Varimba";http://en.wikipedia.org/wiki/Bachi;synonyme
LEXICON_00003099;http://www.mimo-db.eu/InstrumentsKeywords/3099;;;;Xylophone;Xylofon;http://en.wikipedia.org/wiki/Xylophone;
LEXICON_00003100;http://www.mimo-db.eu/InstrumentsKeywords/3100;;;;Zanga;;;
LEXICON_00004783;http://www.mimo-db.eu/InstrumentsKeywords/4783;;;;Strohfiedel;;;
LEXICON_00004920;http://www.mimo-db.eu/InstrumentsKeywords/4920;;;;Calung;;http://en.wikipedia.org/wiki/Calung;
