Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00002364;http://www.mimo-db.eu/InstrumentsKeywords/2364;;;;Musical glasses;"Glasharmonica;Glass armonica";http://en.wikipedia.org/wiki/Glass_harmonica;A vérifier
LEXICON_00002368;http://www.mimo-db.eu/InstrumentsKeywords/2368;;;;Musical saw;;http://en.wikipedia.org/wiki/Musical_saw;
LEXICON_00002369;http://www.mimo-db.eu/InstrumentsKeywords/2369;;;;Nail violin;;http://en.wikipedia.org/wiki/Nail_violin;
LEXICON_00004769;http://www.mimo-db.eu/InstrumentsKeywords/4769;;;;Crystallophone;cristallophone;http://en.wikipedia.org/wiki/Crystallophone;
LEXICON_00004838;http://www.mimo-db.eu/InstrumentsKeywords/4838;;;;Friction idiophone;;http://en.wikipedia.org/wiki/Friction_idiophone;
LEXICON_00004932;http://www.mimo-db.eu/InstrumentsKeywords/4932;;;;Dulcitone;;http://en.wikipedia.org/wiki/Dulcitone;
LEXICON_00006403;http://www.mimo-db.eu/InstrumentsKeywords/6403;;;;Turtle shell;;;
LEXICON_00006404;http://www.mimo-db.eu/InstrumentsKeywords/6404;;;;Horse's hoof effect;;;
LEXICON_00006547;http://www.mimo-db.eu/InstrumentsKeywords/6547;;;;Klaxon;;http://en.wikipedia.org/wiki/Klaxon#Klaxon;A vérifier
LEXICON_00006649;http://www.mimo-db.eu/InstrumentsKeywords/6649;;;;Fusu de nuxi;;;
LEXICON_00002370;http://www.mimo-db.eu/InstrumentsKeywords/2370;;Percussion instruments;;;;http://en.wikipedia.org/wiki/Percussion_instruments;
LEXICON_00002371;http://www.mimo-db.eu/InstrumentsKeywords/2371;;;Bells;;;;
LEXICON_00002372;http://www.mimo-db.eu/InstrumentsKeywords/2372;;;;Abanangbweli;;;
LEXICON_00002373;http://www.mimo-db.eu/InstrumentsKeywords/2373;;;;Agogo;"Ogebe;Ugebe";http://en.wikipedia.org/wiki/Agog%C3%B4;
LEXICON_00002376;http://www.mimo-db.eu/InstrumentsKeywords/2376;;;;Ambassa;;;
LEXICON_00002377;http://www.mimo-db.eu/InstrumentsKeywords/2377;;;;Aporo;;;
LEXICON_00002378;http://www.mimo-db.eu/InstrumentsKeywords/2378;;;;Banka;"Ekon;Ekong";;
LEXICON_00002381;http://www.mimo-db.eu/InstrumentsKeywords/2381;;;;Bell;;http://en.wikipedia.org/wiki/Bell_(instrument);
LEXICON_00002382;http://www.mimo-db.eu/InstrumentsKeywords/2382;;;;Bianzhong;"Bianschong;Pienchong;Pyeonjong";http://en.wikipedia.org/wiki/Bianzhong;
LEXICON_00002384;http://www.mimo-db.eu/InstrumentsKeywords/2384;;;;Bozhong;"Niuzhong;Pochoong;Sung-chong;Yongzhong";;
LEXICON_00002387;http://www.mimo-db.eu/InstrumentsKeywords/2387;;;;Carillon;Glockenspiel;http://en.wikipedia.org/wiki/Carillon;
LEXICON_00002389;http://www.mimo-db.eu/InstrumentsKeywords/2389;;;;Cencerro;;http://en.wikipedia.org/wiki/Cencerro;A vérifier (voir cowbell)
LEXICON_00002390;http://www.mimo-db.eu/InstrumentsKeywords/2390;;;;Cowbell;"Cow bell;Cow bells;Cowbells";http://en.wikipedia.org/wiki/Cowbell;
LEXICON_00002395;http://www.mimo-db.eu/InstrumentsKeywords/2395;;;;Dibu;;;
LEXICON_00002396;http://www.mimo-db.eu/InstrumentsKeywords/2396;;;;Dibu dimbwa;;;
LEXICON_00002397;http://www.mimo-db.eu/InstrumentsKeywords/2397;;;;Dibu dinganga;Dibu di nganga;;
